timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-05-20T2200,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,38,38,24,9,10,45,45,101,81,14,6,6,6,0.3,0.3
2026-05-20T2200,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,31,31,15,13,11,55,55,98,84,12,7,5,5,0.3,0.2
2026-05-20T2200,2695A,80.2899,41.1684,阿克苏地区,电视台,颗粒物(PM10),129,194,120,51,47,114,114,128,125,8,13,3,4,0.6,0.6
2026-05-20T2200,2696A,80.2592,41.1541,阿克苏地区,艺术中心,颗粒物(PM10),110,146,104,58,53,118,118,132,129,14,18,3,4,0.4,0.5
2026-05-20T2200,2205A,105.699,38.8409,阿拉善盟,蒙二幼,颗粒物(PM10),134,208,50,49,12,131,131,144,143,6,8,8,9,0.3,0.4
2026-05-20T2200,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,颗粒物(PM10),116,160,48,60,14,123,123,136,135,3,5,10,10,0.4,0.4
2026-05-20T2200,2708A,88.1266,47.8515,阿勒泰地区,市站,,35,35,38,3,5,82,82,78,78,4,7,5,5,0.2,0.1
2026-05-20T2200,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,48,48,42,3,8,83,83,78,78,2,3,4,5,0.2,0.2
2026-05-20T2200,2630A,80.1171,32.4999,阿里地区,阿里监测站,,35,20,28,11,6,109,109,109,109,1,4,9,9,0.2,0.3
2026-05-20T2200,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,36,13,17,3,4,113,113,113,112,1,1,4,5,0.2,0.2
2026-05-20T2200,2644A,109.0088,32.6974,安康市,汉滨区检察院,NA,NA,68,22,39,9,NA,NA,95,87,22,8,6,3,0.5,0.4
2026-05-20T2200,4054A,109.0324,32.6913,安康市,市邮政管理局,NA,NA,137,28,NA,8,24,24,95,80,28,9,10,7,1.0,0.4
2026-05-20T2200,2291A,117.0806,30.5181,安庆市,环科院,,19,17,11,11,9,60,60,72,70,14,13,6,6,0.6,0.7
2026-05-20T2200,2292A,117.0331,30.5118,安庆市,马山宾馆,,21,15,13,8,10,65,65,65,64,6,14,4,4,0.7,0.8
2026-05-20T2200,2294A,116.9897,30.6146,安庆市,安庆大学,,14,14,11,7,9,41,41,64,59,13,9,3,4,0.6,0.7
2026-05-20T2200,3173A,117.0598,30.5351,安庆市,市人大,,20,18,14,10,9,62,62,73,70,9,9,4,5,0.6,0.7
2026-05-20T2200,3123A,105.9408,26.2431,安顺市,凤凰山,,21,10,28,10,19,65,65,97,82,6,7,6,6,0.4,0.5
2026-05-20T2200,3124A,105.9443,26.2567,安顺市,金钟山,,22,NA,28,15,19,64,64,89,78,4,6,7,7,0.5,0.5
2026-05-20T2200,3125A,105.8983,26.248,安顺市,娄家坡,,21,12,23,7,18,65,65,93,81,3,5,6,7,0.5,0.5
2026-05-20T2200,1819A,114.3552,36.1017,安阳市,红庙街,,28,25,27,19,18,68,68,96,94,12,12,2,3,0.3,0.5
2026-05-20T2200,1820A,114.361,36.0681,安阳市,银杏小区,,26,25,29,18,21,76,76,102,100,5,5,1,1,0.1,0.4
2026-05-20T2200,3141A,114.3921,36.0879,安阳市,信访局,,26,18,27,18,20,70,70,99,97,6,6,3,2,0.2,0.4
2026-05-20T2200,3669A,114.4706,36.0634,安阳市,左辅环卫站,,30,30,32,15,16,60,60,96,93,9,8,3,3,0.3,0.4
2026-05-20T2200,4117A,114.2918,36.0769,安阳市,钢三路198号,,29,23,31,20,20,76,76,101,99,4,9,1,4,0.3,0.6
2026-05-20T2200,1748A,123.0441,41.1201,鞍山市,深沟寺,,49,49,32,26,16,45,45,88,73,34,20,8,8,0.8,0.7
2026-05-20T2200,1749A,123.011,41.0931,鞍山市,太阳城,细颗粒物(PM2.5),74,82,30,47,17,31,31,87,67,40,13,9,8,0.8,0.8
2026-05-20T2200,1750A,123.0483,41.1445,鞍山市,太平,颗粒物(PM10),67,73,51,31,20,21,21,90,67,47,28,10,9,1.2,0.8
2026-05-20T2200,1751A,122.964,41.0968,鞍山市,铁西三道街,颗粒物(PM10),80,92,35,47,21,10,10,88,63,66,23,7,6,1.0,0.9
2026-05-20T2200,1753A,123.0219,41.0822,鞍山市,明达新区,颗粒物(PM10),51,51,26,28,16,30,30,92,71,31,13,8,7,0.7,0.5
2026-05-20T2200,4201A,122.944647,41.082639,鞍山市,兴盛南路290号,颗粒物(PM10),117,164,42,52,22,18,18,95,70,59,23,10,8,0.8,0.8
2026-05-20T2200,2195A,107.4206,40.7609,巴彦淖尔市,附二中,颗粒物(PM10),83,95,92,36,27,110,110,160,157,35,13,18,10,0.7,0.6
2026-05-20T2200,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,颗粒物(PM10),76,86,92,34,26,128,128,166,164,24,10,8,8,0.6,0.5
2026-05-20T2200,1956A,86.1476,41.7529,巴音郭楞蒙古自治州,孔雀公园,"颗粒物(PM10),细颗粒物(PM2.5)",500,13251,903,1586,150,93,93,112,105,7,10,4,4,0.3,0.3
2026-05-20T2200,1957A,86.1971,41.7166,巴音郭楞蒙古自治州,棉纺厂,细颗粒物(PM2.5),500,NA,268,1655,173,96,96,116,110,4,8,/,/,/,/
2026-05-20T2200,1958A,86.236,41.7172,巴音郭楞蒙古自治州,经济开发区,"颗粒物(PM10),细颗粒物(PM2.5)",500,4771,560,1705,191,96,96,114,108,1,3,3,6,0.3,0.3
2026-05-20T2200,3181A,106.776805,31.852614,巴中市,市五中,细颗粒物(PM2.5),111,88,20,72,11,43,43,99,90,16,9,6,6,0.8,0.5
2026-05-20T2200,3183A,106.7419,31.8654,巴中市,圣泉水务公司,细颗粒物(PM2.5),106,115,22,66,14,46,46,107,97,26,10,8,7,0.7,0.5
2026-05-20T2200,3616A,106.7617,31.8343,巴中市,市中心医院,细颗粒物(PM2.5),131,120,19,94,12,45,45,108,98,25,8,6,6,0.9,0.6
2026-05-20T2200,2235A,122.7909,45.608,白城市,洮北区环保局,,35,34,28,16,26,109,109,143,136,12,10,4,4,0.2,0.3
2026-05-20T2200,2236A,122.8741,45.5725,白城市,市环保局,,27,27,29,14,20,78,78,129,114,32,19,6,5,0.3,0.4
2026-05-20T2200,2231A,126.4219,41.9172,白山市,喜丰,,30,30,35,6,10,56,56,88,71,14,14,8,10,0.6,0.6
2026-05-20T2200,2232A,126.4082,41.9416,白山市,环保局,,27,27,21,6,9,53,53,87,68,12,11,10,11,0.6,0.7
2026-05-20T2200,2647A,104.1727,36.5448,白银市,第三小学,NA,NA,64,38,NA,56,89,89,101,94,4,10,13,22,0.4,0.5
2026-05-20T2200,2648A,104.1467,36.5482,白银市,动力公司,颗粒物(PM10),92,108,32,33,16,91,91,107,95,4,11,9,15,0.4,0.5
2026-05-20T2200,2512A,106.6102,23.901,百色市,市监测站,,24,15,17,6,9,74,74,98,86,8,10,13,11,0.5,0.5
2026-05-20T2200,2513A,106.6524,23.8842,百色市,市中心血站,,23,14,17,6,8,72,72,100,88,8,8,11,11,0.7,0.7
2026-05-20T2200,4133A,106.6273,23.8798,百色市,龙景西路,,21,16,24,8,10,66,66,94,84,10,12,15,14,0.5,0.5
2026-05-20T2200,2270A,117.396,32.9389,蚌埠市,工人疗养院,,45,45,26,28,11,55,55,82,72,16,12,4,4,0.6,0.5
2026-05-20T2200,2271A,117.3606,32.9428,蚌埠市,百货大楼,,43,33,17,30,11,55,55,83,74,14,10,6,6,0.6,0.5
2026-05-20T2200,2273A,117.4183,32.8909,蚌埠市,蚌埠学院,,40,NA,15,28,11,56,56,83,78,12,15,4,5,0.6,0.5
2026-05-20T2200,2274A,117.3534,32.9672,蚌埠市,淮上区政府,,42,41,19,29,11,48,48,86,72,21,10,5,4,0.6,0.4
2026-05-20T2200,2275A,117.3143,32.8977,蚌埠市,高新区,,42,29,16,29,12,50,50,77,69,13,9,6,6,0.4,0.4
2026-05-20T2200,3715A,117.3091,32.9314,蚌埠市,蚌埠田家炳中学,,46,36,20,32,12,48,48,82,67,14,8,5,5,0.5,0.4
2026-05-20T2200,1585A,109.8761,40.6533,包头市,市环境监测站,,50,50,41,16,18,111,111,158,151,33,26,8,10,0.5,0.5
2026-05-20T2200,1587A,109.9992,40.5843,包头市,包头八中,颗粒物(PM10),52,52,55,20,21,101,101,148,140,33,24,14,17,0.3,0.4
2026-05-20T2200,1589A,109.8641,40.6288,包头市,惠龙物流,颗粒物(PM10),55,57,42,28,18,104,104,149,143,33,24,11,11,0.5,0.5
2026-05-20T2200,1590A,110.0376,40.5546,包头市,东河鸿龙湾,,44,44,48,21,22,71,71,148,134,40,25,14,24,0.4,0.5
2026-05-20T2200,3283A,109.9154,40.5684,包头市,滨河大厦,颗粒物(PM10),52,52,43,24,20,94,94,149,140,44,33,10,10,0.5,0.5
2026-05-20T2200,3419A,109.9449,40.6259,包头市,包头市委党校,,35,25,37,17,19,109,109,156,147,34,26,11,13,0.5,0.5
2026-05-20T2200,3683A,109.8332,40.6577,包头市,昆区政府,,46,46,43,26,18,108,108,153,147,42,29,8,8,0.5,0.5
2026-05-20T2200,1931A,107.0802,34.3129,宝鸡市,竹园沟,,26,26,29,16,19,69,69,105,102,10,7,8,8,0.5,0.5
2026-05-20T2200,1933A,107.1429,34.3549,宝鸡市,监测站,,40,40,36,24,22,74,74,128,124,17,13,7,7,0.4,0.4
2026-05-20T2200,1934A,107.1172,34.3759,宝鸡市,技工学校,,38,38,38,25,24,85,85,143,138,21,12,6,6,0.7,0.7
2026-05-20T2200,1936A,107.2025,34.3518,宝鸡市,文理学院,,49,43,36,34,24,87,87,140,136,24,14,6,6,0.6,0.6
2026-05-20T2200,1937A,107.2396,34.3626,宝鸡市,三迪小学,,36,36,39,23,23,97,97,146,142,28,18,7,7,0.6,0.5
2026-05-20T2200,4155A,107.1721,34.3558,宝鸡市,滨河北路,,44,44,36,21,22,72,72,136,130,21,12,8,8,0.6,0.6
2026-05-20T2200,4308A,107.3898,34.3601,宝鸡市,陈仓区北开路21号,,44,44,38,21,21,111,111,144,142,24,18,4,3,0.7,0.6
2026-05-20T2200,1051A,115.4803,38.8568,保定市,游泳馆,,25,20,29,14,18,78,78,100,95,10,10,3,4,0.2,0.2
2026-05-20T2200,1052A,115.509,38.8895,保定市,华电二区,,28,28,34,3,13,66,66,93,89,8,6,6,6,0.6,0.5
2026-05-20T2200,1053A,115.4588,38.9037,保定市,接待中心,,32,32,36,12,18,74,74,98,94,8,6,3,3,0.2,0.2
2026-05-20T2200,1054A,115.4484,38.8344,保定市,地表水厂,,29,29,34,12,16,72,72,103,97,14,8,1,2,0.3,0.3
2026-05-20T2200,3581A,115.3136,38.9511,保定市,满城区生态环境分局,NA,NA,NA,24,11,13,74,74,108,103,9,6,2,2,0.4,0.1
2026-05-20T2200,3582A,115.4709,38.7628,保定市,清苑区第二中学,,34,34,40,8,15,60,60,97,89,19,12,3,4,0.4,0.4
2026-05-20T2200,3583A,115.6231,39.0223,保定市,徐水物探局,,26,12,29,12,16,82,82,99,96,6,7,1,2,0.4,0.4
2026-05-20T2200,4004A,115.4199,38.8665,保定市,双鹰农机,,25,17,26,13,19,79,79,104,100,10,8,3,3,0.3,0.3
2026-05-20T2200,4034A,115.515,38.8589,保定市,植保所站,,28,28,33,3,14,79,79,105,100,12,10,3,3,0,0
2026-05-20T2200,2594A,99.1589,25.1137,保山市,市环境监测站,,32,32,35,19,22,84,84,101,93,8,8,8,7,0.3,0.3
