timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-06-08T1100,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,17,13,18,8,7,54,54,60,50,8,5,3,3,0.4,0.4
2026-06-08T1100,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,17,NA,14,8,6,53,53,63,54,8,5,1,3,0.2,0.2
2026-06-08T1100,2695A,80.2899,41.1684,阿克苏地区,电视台,细颗粒物(PM2.5),105,86,82,65,77,92,92,94,93,4,4,3,3,0.4,0.5
2026-06-08T1100,2696A,80.2592,41.1541,阿克苏地区,艺术中心,细颗粒物(PM2.5),115,94,78,76,103,95,95,96,96,7,6,4,4,0.7,0.7
2026-06-08T1100,2205A,105.699,38.8409,阿拉善盟,蒙二幼,,36,22,12,3,3,114,114,99,99,5,5,8,7,0.3,0.3
2026-06-08T1100,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,,35,17,11,3,4,109,109,100,100,4,3,11,10,0.4,0.3
2026-06-08T1100,2708A,88.1266,47.8515,阿勒泰地区,市站,,34,25,30,3,5,108,108,113,113,9,9,7,7,0.3,0.2
2026-06-08T1100,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,细颗粒物(PM2.5),60,NA,31,40,5,104,104,107,107,6,4,6,7,0.3,0.2
2026-06-08T1100,2630A,80.1171,32.4999,阿里地区,阿里监测站,,42,23,14,13,6,134,134,120,113,12,7,11,10,0.4,0.4
2026-06-08T1100,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,46,16,11,3,3,145,145,151,133,6,3,3,3,0.4,0.4
2026-06-08T1100,2644A,109.0088,32.6974,安康市,汉滨区检察院,,22,22,17,14,7,34,34,36,29,7,8,8,8,0.6,0.6
2026-06-08T1100,4054A,109.0324,32.6913,安康市,市邮政管理局,,25,25,18,11,7,35,35,40,32,8,6,2,3,0.4,0.3
2026-06-08T1100,2291A,117.0806,30.5181,安庆市,环科院,,30,28,45,10,35,96,96,84,84,11,10,8,8,0.5,0.6
2026-06-08T1100,2292A,117.0331,30.5118,安庆市,马山宾馆,,30,29,51,14,35,96,96,84,84,9,9,10,9,0.6,0.6
2026-06-08T1100,2294A,116.9897,30.6146,安庆市,安庆大学,,30,26,46,15,38,93,93,84,84,6,9,4,4,0.4,0.5
2026-06-08T1100,3173A,117.0598,30.5351,安庆市,市人大,,30,27,45,12,36,95,95,83,83,12,12,6,5,0.5,0.6
2026-06-08T1100,3123A,105.9408,26.2431,安顺市,凤凰山,,28,6,12,3,13,87,87,77,77,6,5,5,7,0.5,0.6
2026-06-08T1100,3124A,105.9443,26.2567,安顺市,金钟山,,29,NA,12,8,14,91,91,76,76,4,4,6,8,0.4,0.5
2026-06-08T1100,3125A,105.8983,26.248,安顺市,娄家坡,,28,NA,13,13,13,88,88,81,81,5,4,7,7,0.2,0.4
2026-06-08T1100,1819A,114.3552,36.1017,安阳市,红庙街,,42,38,41,14,17,133,133,72,72,8,13,6,5,0.5,0.5
2026-06-08T1100,1820A,114.361,36.0681,安阳市,银杏小区,,43,39,39,16,17,137,137,74,74,8,13,5,4,0.2,0.3
2026-06-08T1100,3141A,114.3921,36.0879,安阳市,信访局,,46,46,38,10,18,146,146,84,84,9,12,4,3,0.3,0.3
2026-06-08T1100,3669A,114.4706,36.0634,安阳市,左辅环卫站,,50,50,60,11,19,125,125,50,50,11,20,5,3,0.8,0.8
2026-06-08T1100,4117A,114.2918,36.0769,安阳市,钢三路198号,NA,NA,40,38,24,20,120,120,57,57,NA,13,6,5,0.5,0.6
2026-06-08T1100,1748A,123.0441,41.1201,鞍山市,深沟寺,,34,34,22,19,12,104,104,62,62,15,15,14,8,1.3,0.9
2026-06-08T1100,1749A,123.011,41.0931,鞍山市,太阳城,NA,NA,27,22,13,12,102,102,65,65,NA,12,13,9,0.9,0.9
2026-06-08T1100,1750A,123.0483,41.1445,鞍山市,太平,颗粒物(PM10),78,88,31,28,14,93,93,61,61,21,15,19,9,2.0,1
2026-06-08T1100,1751A,122.964,41.0968,鞍山市,铁西三道街,,41,41,35,17,15,96,96,66,66,16,23,10,8,1.1,0.9
2026-06-08T1100,1753A,123.0219,41.0822,鞍山市,明达新区,,31,25,20,14,12,99,99,69,69,12,14,13,10,0.8,0.8
2026-06-08T1100,4201A,122.944647,41.082639,鞍山市,兴盛南路290号,,36,36,33,21,14,88,88,62,62,17,22,12,9,1.2,0.9
2026-06-08T1100,2195A,107.4206,40.7609,巴彦淖尔市,附二中,,26,26,26,3,9,82,82,49,49,5,10,10,10,0.4,0.4
2026-06-08T1100,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,,33,33,29,10,9,88,88,61,61,5,7,9,8,0.5,0.5
