timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-06-10T1700,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,29,25,22,11,9,92,92,86,86,6,5,2,2,0.1,0.2
2026-06-10T1700,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,27,17,11,6,7,86,86,80,80,7,6,1,1,0.1,0.1
2026-06-10T1700,2695A,80.2899,41.1684,阿克苏地区,电视台,颗粒物(PM10),87,101,120,45,65,127,127,109,109,3,16,3,3,0.5,0.6
2026-06-10T1700,2696A,80.2592,41.1541,阿克苏地区,艺术中心,颗粒物(PM10),84,97,122,48,100,122,122,108,108,9,21,4,4,0.6,0.7
2026-06-10T1700,2205A,105.699,38.8409,阿拉善盟,蒙二幼,,35,28,15,3,2,112,112,113,113,1,3,8,8,0.2,0.3
2026-06-10T1700,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,,33,12,13,3,2,104,104,107,106,2,3,10,11,0.4,0.4
2026-06-10T1700,2708A,88.1266,47.8515,阿勒泰地区,市站,,36,16,14,3,3,114,114,101,101,6,7,7,7,0.3,0.3
2026-06-10T1700,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,35,12,13,3,4,109,109,99,99,4,5,6,6,0.2,0.2
2026-06-10T1700,2630A,80.1171,32.4999,阿里地区,阿里监测站,,46,6,12,3,4,147,147,141,141,2,4,4,5,0.3,0.3
2026-06-10T1700,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,50,6,12,3,3,158,158,152,151,2,2,5,4,0.3,0.4
2026-06-10T1700,2644A,109.0088,32.6974,安康市,汉滨区检察院,,40,22,24,10,11,127,127,99,99,6,9,5,8,0.4,0.5
2026-06-10T1700,4054A,109.0324,32.6913,安康市,市邮政管理局,,42,23,25,20,15,134,134,108,108,6,10,1,4,0.4,0.5
2026-06-10T1700,2291A,117.0806,30.5181,安庆市,环科院,NA,NA,28,35,7,17,179,179,156,156,NA,31,10,10,0.5,0.5
2026-06-10T1700,2292A,117.0331,30.5118,安庆市,马山宾馆,臭氧1小时(O3_1h),94,20,29,7,15,195,195,162,162,15,29,10,11,0.4,0.4
2026-06-10T1700,2294A,116.9897,30.6146,安庆市,安庆大学,,50,12,24,9,12,160,160,153,153,7,12,4,4,0.3,0.3
2026-06-10T1700,3173A,117.0598,30.5351,安庆市,市人大,臭氧1小时(O3_1h),78,20,29,6,19,182,182,167,167,14,24,6,8,0.3,0.5
2026-06-10T1700,3123A,105.9408,26.2431,安顺市,凤凰山,,37,NA,17,15,16,116,116,110,110,7,7,7,8,0.3,0.5
2026-06-10T1700,3124A,105.9443,26.2567,安顺市,金钟山,,38,NA,16,11,14,119,119,109,109,5,6,9,8,0.4,0.5
2026-06-10T1700,3125A,105.8983,26.248,安顺市,娄家坡,,40,15,19,12,15,125,125,113,113,6,7,9,13,0.2,0.3
2026-06-10T1700,1819A,114.3552,36.1017,安阳市,红庙街,臭氧1小时(O3_1h),103,58,74,18,20,205,205,167,167,5,15,6,6,0.5,0.6
2026-06-10T1700,1820A,114.361,36.0681,安阳市,银杏小区,臭氧1小时(O3_1h),104,59,74,18,20,208,208,175,175,5,17,4,5,0.2,0.3
2026-06-10T1700,3141A,114.3921,36.0879,安阳市,信访局,臭氧1小时(O3_1h),101,48,75,23,22,202,202,168,168,3,16,4,5,0.6,0.4
2026-06-10T1700,3669A,114.4706,36.0634,安阳市,左辅环卫站,臭氧1小时(O3_1h),87,80,100,17,20,189,189,162,162,9,22,4,4,0.3,0.3
2026-06-10T1700,4117A,114.2918,36.0769,安阳市,钢三路198号,臭氧1小时(O3_1h),100,56,72,23,26,200,200,164,164,7,17,6,8,0.5,0.7
2026-06-10T1700,1748A,123.0441,41.1201,鞍山市,深沟寺,,31,6,33,3,16,97,97,97,97,10,12,7,6,0.6,0.9
2026-06-10T1700,1749A,123.011,41.0931,鞍山市,太阳城,,34,11,46,3,24,107,107,92,92,11,14,14,10,0.9,1.2
2026-06-10T1700,1750A,123.0483,41.1445,鞍山市,太平,,32,12,42,3,20,100,100,94,94,11,14,4,8,0.5,0.9
2026-06-10T1700,1751A,122.964,41.0968,鞍山市,铁西三道街,,35,9,57,3,26,110,110,100,100,13,29,10,11,0.7,1.3
2026-06-10T1700,1753A,123.0219,41.0822,鞍山市,明达新区,,33,10,37,3,22,104,104,94,94,13,14,16,11,0.9,1.1
2026-06-10T1700,4201A,122.944647,41.082639,鞍山市,兴盛南路290号,,34,9,61,3,29,108,108,97,97,12,27,9,9,0.5,1.1
