timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-06-23T1900,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,19,19,18,9,8,31,31,43,43,4,4,3,3,0.4,0.4
2026-06-23T1900,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,21,21,10,12,7,49,49,53,53,9,6,2,2,0.4,0.3
2026-06-23T1900,2695A,80.2899,41.1684,阿克苏地区,电视台,,45,NA,64,27,34,144,144,133,133,4,9,4,3,0.6,0.7
2026-06-23T1900,2696A,80.2592,41.1541,阿克苏地区,艺术中心,,47,35,61,29,42,150,150,140,140,4,12,6,4,0.5,0.6
2026-06-23T1900,2205A,105.699,38.8409,阿拉善盟,蒙二幼,,45,39,30,15,10,144,144,128,128,6,6,11,11,0.4,0.3
2026-06-23T1900,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,,40,37,30,13,8,127,127,124,119,6,6,9,9,0.5,0.4
2026-06-23T1900,2708A,88.1266,47.8515,阿勒泰地区,市站,,40,33,21,21,4,128,128,124,124,8,7,7,7,0.3,0.2
2026-06-23T1900,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,颗粒物(PM10),53,54,20,27,7,122,122,118,118,6,6,6,6,0.4,0.3
2026-06-23T1900,2630A,80.1171,32.4999,阿里地区,阿里监测站,,45,16,9,3,3,142,142,147,147,2,3,7,5,0.3,0.3
2026-06-23T1900,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,50,23,12,3,4,158,158,163,163,2,2,6,5,0.3,0.3
2026-06-23T1900,2644A,109.0088,32.6974,安康市,汉滨区检察院,,23,8,12,3,4,72,72,80,80,8,8,6,7,0.8,0.7
2026-06-23T1900,4054A,109.0324,32.6913,安康市,市邮政管理局,,24,10,10,6,5,75,75,83,83,6,6,3,3,0.6,0.7
2026-06-23T1900,2291A,117.0806,30.5181,安庆市,环科院,,26,7,6,3,3,81,81,81,81,4,2,8,8,0.7,0.7
2026-06-23T1900,2292A,117.0331,30.5118,安庆市,马山宾馆,,24,6,5,3,4,74,74,79,79,9,5,3,2,0.6,0.6
2026-06-23T1900,2294A,116.9897,30.6146,安庆市,安庆大学,,27,6,6,3,3,85,85,81,81,4,3,3,3,0.4,0.4
2026-06-23T1900,3173A,117.0598,30.5351,安庆市,市人大,,24,10,6,3,3,76,76,79,77,11,7,5,4,0.6,0.5
2026-06-23T1900,3123A,105.9408,26.2431,安顺市,凤凰山,,18,18,19,11,13,55,55,58,58,7,7,8,6,0.6,0.5
2026-06-23T1900,3124A,105.9443,26.2567,安顺市,金钟山,,18,14,18,6,14,56,56,57,57,4,4,6,6,0.5,0.5
2026-06-23T1900,3125A,105.8983,26.248,安顺市,娄家坡,,18,14,15,12,14,54,54,60,60,6,6,5,9,0.5,0.5
2026-06-23T1900,1819A,114.3552,36.1017,安阳市,红庙街,臭氧1小时(O3_1h),68,38,37,23,22,174,174,162,162,3,7,3,5,0.5,0.5
2026-06-23T1900,1820A,114.361,36.0681,安阳市,银杏小区,臭氧1小时(O3_1h),75,32,36,23,25,180,180,166,166,2,8,2,3,0.4,0.5
2026-06-23T1900,3141A,114.3921,36.0879,安阳市,信访局,臭氧1小时(O3_1h),79,40,33,22,26,183,183,173,173,6,8,1,2,0.4,0.3
2026-06-23T1900,3669A,114.4706,36.0634,安阳市,左辅环卫站,臭氧1小时(O3_1h),55,34,51,25,27,164,164,156,156,8,13,2,3,0.4,0.5
2026-06-23T1900,4117A,114.2918,36.0769,安阳市,钢三路198号,臭氧1小时(O3_1h),54,27,35,20,22,163,163,151,151,7,9,4,4,0.5,0.5
2026-06-23T1900,1748A,123.0441,41.1201,鞍山市,深沟寺,,39,39,32,17,13,114,114,111,109,13,10,9,7,0.5,0.6
2026-06-23T1900,1749A,123.011,41.0931,鞍山市,太阳城,,35,29,31,17,16,109,109,114,113,20,13,22,9,2.2,0.9
