timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-07-15T1700,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,25,25,27,8,9,74,74,72,72,8,4,4,4,0.5,0.5
2026-07-15T1700,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,NA,NA,17,16,11,9,91,91,76,76,6,5,NA,3,0.3,0.4
2026-07-15T1700,2695A,80.2899,41.1684,阿克苏地区,电视台,,48,48,55,32,27,106,106,98,86,4,8,5,5,0.3,0.3
2026-07-15T1700,2696A,80.2592,41.1541,阿克苏地区,艺术中心,,47,47,48,28,33,115,115,93,93,6,19,4,4,0.3,0.4
2026-07-15T1700,2205A,105.699,38.8409,阿拉善盟,蒙二幼,,41,19,22,7,9,130,130,136,136,4,7,10,11,0.2,0.4
2026-07-15T1700,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,,44,16,22,8,8,139,139,139,139,2,5,9,10,0.4,0.5
2026-07-15T1700,2708A,88.1266,47.8515,阿勒泰地区,市站,,37,14,31,3,5,117,117,101,101,12,13,8,8,0.4,0.4
2026-07-15T1700,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,39,10,28,3,4,122,122,112,112,4,6,7,7,0.3,0.3
2026-07-15T1700,2630A,80.1171,32.4999,阿里地区,阿里监测站,,43,10,17,3,4,137,137,140,130,2,3,7,7,0.2,0.2
2026-07-15T1700,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,44,24,19,3,4,140,140,139,129,1,2,4,4,0.2,0.2
2026-07-15T1700,2644A,109.0088,32.6974,安康市,汉滨区检察院,,29,29,26,15,10,88,88,91,91,3,6,3,3,0.3,0.4
2026-07-15T1700,4054A,109.0324,32.6913,安康市,市邮政管理局,,32,16,18,16,11,101,101,97,97,4,5,3,3,0.6,0.7
2026-07-15T1700,2291A,117.0806,30.5181,安庆市,环科院,,22,10,15,3,7,69,69,66,66,4,12,8,9,0.5,0.6
2026-07-15T1700,2292A,117.0331,30.5118,安庆市,马山宾馆,,20,16,14,3,8,63,63,66,66,10,13,3,2,0.3,0.4
2026-07-15T1700,2294A,116.9897,30.6146,安庆市,安庆大学,,24,6,13,3,7,76,76,68,68,6,9,4,4,0.4,0.5
2026-07-15T1700,3173A,117.0598,30.5351,安庆市,市人大,,23,10,15,3,6,72,72,71,71,2,6,4,5,0.3,0.4
