timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-06-11T1700,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,22,20,19,3,7,69,69,69,69,4,7,2,2,0.1,0.1
2026-06-11T1700,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,22,NA,13,3,6,69,69,67,67,5,7,1,1,0.0,0.1
2026-06-11T1700,2695A,80.2899,41.1684,阿克苏地区,电视台,细颗粒物(PM2.5),120,149,85,82,47,106,106,112,112,2,13,3,3,0.4,0.6
2026-06-11T1700,2696A,80.2592,41.1541,阿克苏地区,艺术中心,颗粒物(PM10),112,149,93,60,36,117,117,115,115,6,21,4,4,0.6,0.7
2026-06-11T1700,2205A,105.699,38.8409,阿拉善盟,蒙二幼,,43,23,22,7,5,135,135,134,134,7,4,9,9,0.2,0.3
2026-06-11T1700,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,NA,NA,NA,20,NA,4,132,132,128,128,3,4,11,11,0.4,0.4
2026-06-11T1700,2708A,88.1266,47.8515,阿勒泰地区,市站,,36,26,22,10,3,114,114,105,105,9,7,7,7,0.3,0.4
2026-06-11T1700,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,NA,NA,17,24,3,4,110,110,100,100,NA,4,NA,6,0.2,0.2
2026-06-11T1700,2630A,80.1171,32.4999,阿里地区,阿里监测站,,48,8,12,3,4,151,151,151,150,5,4,5,6,0.3,0.3
2026-06-11T1700,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,50,6,10,3,3,158,158,160,154,1,1,5,5,0.4,0.4
2026-06-11T1700,2644A,109.0088,32.6974,安康市,汉滨区检察院,,33,33,34,16,16,85,85,78,78,8,12,4,5,0.4,0.4
2026-06-11T1700,4054A,109.0324,32.6913,安康市,市邮政管理局,,29,26,34,18,16,91,91,85,85,5,13,3,3,0.4,0.4
2026-06-11T1700,2291A,117.0806,30.5181,安庆市,环科院,臭氧1小时(O3_1h),88,34,36,13,22,190,190,173,173,11,30,10,10,0.6,0.6
2026-06-11T1700,2292A,117.0331,30.5118,安庆市,马山宾馆,臭氧1小时(O3_1h),94,38,34,14,22,195,195,173,173,16,38,12,12,0.8,0.7
2026-06-11T1700,2294A,116.9897,30.6146,安庆市,安庆大学,臭氧1小时(O3_1h),65,38,36,15,21,172,172,165,165,20,18,15,7,0.5,0.4
2026-06-11T1700,3173A,117.0598,30.5351,安庆市,市人大,臭氧1小时(O3_1h),90,25,32,13,25,192,192,174,174,15,29,7,7,0.5,0.6
2026-06-11T1700,3123A,105.9408,26.2431,安顺市,凤凰山,,32,19,18,18,16,100,100,103,103,7,9,6,14,0.4,0.4
2026-06-11T1700,3124A,105.9443,26.2567,安顺市,金钟山,,33,NA,19,20,16,103,103,106,106,5,7,8,15,0.5,0.5
2026-06-11T1700,3125A,105.8983,26.248,安顺市,娄家坡,,32,NA,20,20,17,102,102,108,107,4,8,6,15,0.3,0.3
2026-06-11T1700,1819A,114.3552,36.1017,安阳市,红庙街,臭氧1小时(O3_1h),108,47,77,23,24,215,215,186,186,5,12,4,6,0.4,0.5
