timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-05-29T0000,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,29,29,22,6,9,56,56,90,67,4,5,7,7,0.4,0.4
2026-05-29T0000,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,27,27,16,6,8,66,66,88,72,4,6,6,6,0.3,0.3
2026-05-29T0000,2695A,80.2899,41.1684,阿克苏地区,电视台,细颗粒物(PM2.5),182,200,92,137,53,20,20,109,88,61,9,3,3,1.6,0.8
2026-05-29T0000,2696A,80.2592,41.1541,阿克苏地区,艺术中心,颗粒物(PM10),141,225,85,104,42,3,3,109,83,92,19,6,4,1.3,0.5
2026-05-29T0000,2205A,105.699,38.8409,阿拉善盟,蒙二幼,,41,33,21,8,3,129,129,122,122,1,4,9,8,0.3,0.2
2026-05-29T0000,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,,42,30,19,3,3,134,134,122,122,5,3,11,10,0.4,0.3
2026-05-29T0000,2708A,88.1266,47.8515,阿勒泰地区,市站,颗粒物(PM10),66,72,27,30,5,61,61,115,86,18,12,7,7,0.5,0.3
2026-05-29T0000,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,颗粒物(PM10),63,67,27,12,3,68,68,118,100,18,8,5,5,0.2,0.1
2026-05-29T0000,2630A,80.1171,32.4999,阿里地区,阿里监测站,,41,22,20,7,4,129,129,158,152,1,4,6,4,0.3,0.3
2026-05-29T0000,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,43,21,18,3,3,135,135,152,145,2,2,4,3,0.2,0.2
2026-05-29T0000,2644A,109.0088,32.6974,安康市,汉滨区检察院,,36,36,31,13,12,12,12,54,38,21,14,6,6,0.5,0.5
2026-05-29T0000,4054A,109.0324,32.6913,安康市,市邮政管理局,,35,35,29,14,13,21,21,66,51,19,11,2,3,0.4,0.5
2026-05-29T0000,2291A,117.0806,30.5181,安庆市,环科院,,49,49,32,28,18,57,57,143,116,42,17,8,8,0.7,0.6
2026-05-29T0000,2292A,117.0331,30.5118,安庆市,马山宾馆,颗粒物(PM10),55,56,35,29,18,66,66,142,116,44,17,9,7,0.4,0.4
2026-05-29T0000,2294A,116.9897,30.6146,安庆市,安庆大学,颗粒物(PM10),52,52,33,26,16,86,86,134,112,17,11,3,4,0.5,0.5
2026-05-29T0000,3173A,117.0598,30.5351,安庆市,市人大,,49,48,34,34,18,62,62,137,117,29,15,6,5,0.7,0.6
2026-05-29T0000,3123A,105.9408,26.2431,安顺市,凤凰山,,22,22,19,11,12,42,42,78,62,15,10,5,6,0.7,0.6
2026-05-29T0000,3124A,105.9443,26.2567,安顺市,金钟山,,18,16,16,12,12,44,44,71,65,10,7,8,6,0.7,0.6
2026-05-29T0000,3125A,105.8983,26.248,安顺市,娄家坡,NA,NA,NA,20,NA,14,NA,NA,76,NA,NA,9,NA,10,NA,0.7
2026-05-29T0000,1819A,114.3552,36.1017,安阳市,红庙街,,46,46,52,21,15,74,74,127,104,17,12,5,6,0.4,0.5
2026-05-29T0000,1820A,114.361,36.0681,安阳市,银杏小区,,48,48,54,31,18,74,74,135,105,16,13,6,7,0,0.2
2026-05-29T0000,3141A,114.3921,36.0879,安阳市,信访局,,38,38,48,24,18,74,74,132,109,24,7,6,6,0.3,0.4
2026-05-29T0000,3669A,114.4706,36.0634,安阳市,左辅环卫站,,46,46,54,13,16,60,60,123,87,34,15,10,4,0.4,0.5
2026-05-29T0000,4117A,114.2918,36.0769,安阳市,钢三路198号,颗粒物(PM10),54,55,54,24,17,67,67,131,98,15,12,5,7,0.4,0.6
2026-05-29T0000,1748A,123.0441,41.1201,鞍山市,深沟寺,,20,12,38,6,22,64,64,118,92,22,19,10,10,0.6,0.9
2026-05-29T0000,1749A,123.011,41.0931,鞍山市,太阳城,,21,14,39,6,29,67,67,118,94,17,17,8,11,0.5,1.1
2026-05-29T0000,1750A,123.0483,41.1445,鞍山市,太平,,35,35,52,11,22,40,40,118,82,31,22,8,9,0.9,1
2026-05-29T0000,1751A,122.964,41.0968,鞍山市,铁西三道街,颗粒物(PM10),54,55,56,15,29,42,42,118,82,47,26,9,10,0.9,1.2
2026-05-29T0000,1753A,123.0219,41.0822,鞍山市,明达新区,,19,14,43,3,29,60,60,111,86,19,20,6,10,0.4,0.9
2026-05-29T0000,4201A,122.944647,41.082639,鞍山市,兴盛南路290号,颗粒物(PM10),65,70,48,24,34,4,4,116,69,81,29,10,11,1.1,1
2026-05-29T0000,2195A,107.4206,40.7609,巴彦淖尔市,附二中,颗粒物(PM10),52,52,30,31,12,34,34,126,99,46,14,9,10,0.9,0.5
2026-05-29T0000,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,,33,33,29,15,7,76,76,131,115,19,9,7,8,0.6,0.4
2026-05-29T0000,1956A,86.1476,41.7529,巴音郭楞蒙古自治州,孔雀公园,颗粒物(PM10),142,229,171,96,68,69,69,95,84,12,26,4,4,0.3,0.4
2026-05-29T0000,1957A,86.1971,41.7166,巴音郭楞蒙古自治州,棉纺厂,细颗粒物(PM2.5),111,NA,202,72,79,87,87,99,92,7,20,/,/,/,/
2026-05-29T0000,1958A,86.236,41.7172,巴音郭楞蒙古自治州,经济开发区,细颗粒物(PM2.5),118,162,161,79,60,75,75,95,84,7,7,1,2,0.3,0.2
2026-05-29T0000,3181A,106.776805,31.852614,巴中市,市五中,,27,27,24,14,12,26,26,69,52,9,9,6,6,0.5,0.6
2026-05-29T0000,3183A,106.7419,31.8654,巴中市,圣泉水务公司,,26,26,20,18,12,13,13,84,63,37,9,7,7,0.5,0.5
