timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-06-09T2100,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,17,14,14,9,8,52,52,64,63,5,4,3,2,0.2,0.3
2026-06-09T2100,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,15,14,10,9,7,48,48,60,59,5,5,1,2,0.1,0.1
2026-06-09T2100,2695A,80.2899,41.1684,阿克苏地区,电视台,细颗粒物(PM2.5),101,103,91,61,59,NA,NA,102,102,5,7,4,3,NA,0.5
2026-06-09T2100,2696A,80.2592,41.1541,阿克苏地区,艺术中心,NA,NA,73,88,NA,52,110,110,104,104,10,14,5,3,0.6,0.7
2026-06-09T2100,2205A,105.699,38.8409,阿拉善盟,蒙二幼,NA,NA,13,25,3,7,92,92,96,95,NA,3,8,8,0.3,0.3
2026-06-09T2100,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,,30,11,20,3,4,94,94,95,95,3,3,10,10,0.4,0.4
2026-06-09T2100,2708A,88.1266,47.8515,阿勒泰地区,市站,,35,12,24,3,3,112,112,117,117,8,7,7,7,0.3,0.4
2026-06-09T2100,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,36,11,24,3,8,114,114,114,114,6,5,7,7,0.2,0.3
2026-06-09T2100,2630A,80.1171,32.4999,阿里地区,阿里监测站,NA,NA,NA,14,7,3,152,152,167,155,9,4,6,5,0.3,0.3
2026-06-09T2100,3192A,80.0906,32.5029,阿里地区,阿里藏医院,NA,NA,13,12,8,3,171,171,177,168,NA,1,4,4,0.4,0.4
2026-06-09T2100,2644A,109.0088,32.6974,安康市,汉滨区检察院,,29,29,18,12,9,59,59,104,102,14,7,8,9,0.6,0.6
2026-06-09T2100,4054A,109.0324,32.6913,安康市,市邮政管理局,,42,38,21,29,12,65,65,108,106,18,8,4,4,0.5,0.4
2026-06-09T2100,2291A,117.0806,30.5181,安庆市,环科院,,37,32,18,12,7,118,118,142,141,23,12,9,9,0.5,0.4
2026-06-09T2100,2292A,117.0331,30.5118,安庆市,马山宾馆,,41,26,18,10,6,129,129,142,142,18,10,11,10,0.3,0.3
2026-06-09T2100,2294A,116.9897,30.6146,安庆市,安庆大学,,33,27,16,12,6,104,104,136,134,14,8,4,5,0.3,0.3
2026-06-09T2100,3173A,117.0598,30.5351,安庆市,市人大,,36,22,18,18,7,114,114,145,143,29,13,7,6,0.4,0.3
