timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-06-16T1200,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,16,13,21,11,12,45,45,19,19,5,5,3,3,0.3,0.3
2026-06-16T1200,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,15,NA,11,9,10,46,46,24,23,5,6,2,2,0.3,0.3
2026-06-16T1200,2695A,80.2899,41.1684,阿克苏地区,电视台,,43,31,81,30,44,110,110,115,112,6,8,2,3,0.6,0.6
2026-06-16T1200,2696A,80.2592,41.1541,阿克苏地区,艺术中心,,46,46,73,14,32,115,115,121,116,12,10,3,4,0.6,0.6
2026-06-16T1200,2205A,105.699,38.8409,阿拉善盟,蒙二幼,颗粒物(PM10),63,67,39,25,13,137,137,119,119,4,5,10,9,0.4,0.4
2026-06-16T1200,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,,49,49,39,14,10,133,133,120,120,5,4,12,11,0.4,0.4
2026-06-16T1200,2708A,88.1266,47.8515,阿勒泰地区,市站,颗粒物(PM10),52,52,25,3,4,43,43,78,66,32,12,8,7,0.2,0.1
2026-06-16T1200,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,49,49,25,6,3,56,56,75,69,31,7,7,6,0.3,0.3
2026-06-16T1200,2630A,80.1171,32.4999,阿里地区,阿里监测站,,37,7,12,3,4,118,118,112,106,3,4,2,3,0.3,0.3
2026-06-16T1200,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,38,7,10,3,3,119,119,110,104,1,2,5,4,0.3,0.3
2026-06-16T1200,2644A,109.0088,32.6974,安康市,汉滨区检察院,,25,25,27,14,15,77,77,44,44,7,7,9,6,0.7,0.5
2026-06-16T1200,4054A,109.0324,32.6913,安康市,市邮政管理局,,32,32,26,20,18,86,86,46,46,8,6,4,5,0.6,0.5
2026-06-16T1200,2291A,117.0806,30.5181,安庆市,环科院,,39,19,25,6,18,123,123,77,77,2,4,7,8,0.5,0.7
2026-06-16T1200,2292A,117.0331,30.5118,安庆市,马山宾馆,,37,24,24,13,20,118,118,77,77,6,7,9,10,0.7,0.8
2026-06-16T1200,2294A,116.9897,30.6146,安庆市,安庆大学,,35,21,23,7,17,109,109,74,74,3,5,3,4,0.3,0.4
2026-06-16T1200,3173A,117.0598,30.5351,安庆市,市人大,,39,19,24,10,18,123,123,77,77,6,9,4,5,0.4,0.5
2026-06-16T1200,3123A,105.9408,26.2431,安顺市,凤凰山,,19,16,25,10,22,59,59,49,49,7,8,7,8,0.4,0.5
