timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-07-08T1300,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,27,13,21,7,8,84,84,32,32,5,4,4,4,0.3,0.3
2026-07-08T1300,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,25,16,12,9,8,79,79,33,33,5,5,2,2,0.3,0.3
2026-07-08T1300,2695A,80.2899,41.1684,阿克苏地区,电视台,细颗粒物(PM2.5),152,NA,111,116,66,120,120,87,87,5,10,4,4,0.3,0.4
2026-07-08T1300,2696A,80.2592,41.1541,阿克苏地区,艺术中心,细颗粒物(PM2.5),76,58,84,48,62,126,126,83,83,11,18,4,4,0.3,0.4
2026-07-08T1300,2205A,105.699,38.8409,阿拉善盟,蒙二幼,,41,6,15,3,4,129,129,116,116,3,3,11,10,0.2,0.3
2026-07-08T1300,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,,39,15,16,3,3,122,122,117,117,4,3,10,9,0.4,0.4
2026-07-08T1300,2708A,88.1266,47.8515,阿勒泰地区,市站,,35,35,22,3,3,106,106,84,84,11,11,7,7,0.6,0.5
2026-07-08T1300,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,30,19,18,3,2,96,96,81,76,7,6,7,6,0.3,0.3
2026-07-08T1300,2630A,80.1171,32.4999,阿里地区,阿里监测站,,25,6,7,3,4,80,80,76,66,2,3,4,5,0.2,0.2
2026-07-08T1300,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,25,7,7,3,3,78,78,74,65,2,2,9,9,0.2,0.2
2026-07-08T1300,2644A,109.0088,32.6974,安康市,汉滨区检察院,,35,22,21,12,12,111,111,68,68,5,6,4,4,0.5,0.4
2026-07-08T1300,4054A,109.0324,32.6913,安康市,市邮政管理局,,41,27,24,20,12,130,130,75,75,4,5,2,2,0.7,0.6
2026-07-08T1300,2291A,117.0806,30.5181,安庆市,环科院,,22,NA,11,6,5,70,70,43,43,2,8,9,8,0.4,0.4
2026-07-08T1300,2292A,117.0331,30.5118,安庆市,马山宾馆,,20,11,11,6,6,63,63,37,37,6,14,3,2,0.3,0.4
2026-07-08T1300,2294A,116.9897,30.6146,安庆市,安庆大学,,20,13,13,3,5,62,62,41,41,2,6,4,4,0.3,0.4
2026-07-08T1300,3173A,117.0598,30.5351,安庆市,市人大,,22,7,11,6,6,70,70,44,44,2,7,5,5,0.4,0.4
2026-07-08T1300,3123A,105.9408,26.2431,安顺市,凤凰山,,27,8,16,8,11,86,86,60,NA,3,8,5,7,0.4,0.5
2026-07-08T1300,3124A,105.9443,26.2567,安顺市,金钟山,,27,8,13,7,12,86,86,74,74,2,6,6,7,0.4,0.4
2026-07-08T1300,3125A,105.8983,26.248,安顺市,娄家坡,,28,11,13,9,12,87,87,72,72,2,6,5,6,0.4,0.4
2026-07-08T1300,1819A,114.3552,36.1017,安阳市,红庙街,,43,29,28,18,16,135,135,114,114,2,4,4,4,0.4,0.5
2026-07-08T1300,1820A,114.361,36.0681,安阳市,银杏小区,,45,39,28,18,18,143,143,122,122,5,5,1,2,0.1,0.2
2026-07-08T1300,3141A,114.3921,36.0879,安阳市,信访局,,49,40,28,20,19,154,154,131,131,2,5,1,3,1.0,0.5
2026-07-08T1300,3669A,114.4706,36.0634,安阳市,左辅环卫站,,44,44,30,19,17,127,127,108,108,6,8,2,2,0.3,0.3
2026-07-08T1300,4117A,114.2918,36.0769,安阳市,钢三路198号,,41,30,25,10,20,130,130,107,107,5,5,3,3,0.5,0.5
2026-07-08T1300,1748A,123.0441,41.1201,鞍山市,深沟寺,,35,30,12,23,7,112,112,69,69,7,8,7,6,0.8,0.6
2026-07-08T1300,1749A,123.011,41.0931,鞍山市,太阳城,颗粒物(PM10),52,52,13,28,8,105,105,68,68,12,9,7,7,1.2,0.8
2026-07-08T1300,1750A,123.0483,41.1445,鞍山市,太平,颗粒物(PM10),68,75,17,33,8,107,107,62,62,8,10,6,6,1.1,0.9
2026-07-08T1300,1751A,122.964,41.0968,鞍山市,铁西三道街,颗粒物(PM10),63,67,15,32,8,120,120,74,74,8,9,6,5,1.0,0.8
2026-07-08T1300,1753A,123.0219,41.0822,鞍山市,明达新区,,42,35,10,29,6,114,114,73,73,10,7,5,4,1.2,0.6
2026-07-08T1300,4201A,122.944647,41.082639,鞍山市,兴盛南路290号,颗粒物(PM10),93,110,18,49,10,108,108,74,74,12,12,5,5,0.9,0.7
2026-07-08T1300,2195A,107.4206,40.7609,巴彦淖尔市,附二中,,43,21,31,7,11,137,137,69,69,7,17,12,14,0.6,0.6
2026-07-08T1300,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,,43,28,46,3,9,137,137,73,73,5,15,10,10,0.6,0.6
2026-07-08T1300,1956A,86.1476,41.7529,巴音郭楞蒙古自治州,孔雀公园,颗粒物(PM10),93,110,59,44,27,61,61,112,81,13,7,6,6,0.3,0.2
2026-07-08T1300,1957A,86.1971,41.7166,巴音郭楞蒙古自治州,棉纺厂,细颗粒物(PM2.5),54,52,38,37,16,90,90,114,95,17,9,/,/,/,/
2026-07-08T1300,1958A,86.236,41.7172,巴音郭楞蒙古自治州,经济开发区,,42,42,33,28,15,99,99,115,103,8,6,4,4,0.2,0.2
2026-07-08T1300,3181A,106.776805,31.852614,巴中市,市五中,,42,28,31,14,23,132,132,74,74,6,9,8,8,0.7,0.6
2026-07-08T1300,3183A,106.7419,31.8654,巴中市,圣泉水务公司,,43,28,29,14,22,136,136,62,62,6,10,9,8,0.8,0.8
2026-07-08T1300,3616A,106.7617,31.8343,巴中市,市中心医院,,40,26,42,17,22,126,126,68,68,4,9,8,7,0.8,0.9
2026-07-08T1300,2235A,122.7909,45.608,白城市,洮北区环保局,,26,15,23,8,24,83,83,70,63,8,6,5,4,0.3,0.4
2026-07-08T1300,2236A,122.8741,45.5725,白城市,市环保局,,17,17,24,3,19,28,28,21,21,10,10,3,3,0.4,0.4
2026-07-08T1300,2231A,126.4219,41.9172,白山市,喜丰,NA,NA,NA,19,NA,4,NA,NA,102,NA,NA,8,NA,9,NA,1.1
2026-07-08T1300,2232A,126.4082,41.9416,白山市,环保局,,20,6,12,3,1,61,61,57,57,2,5,11,11,0.8,0.7
2026-07-08T1300,2647A,104.1727,36.5448,白银市,第三小学,,50,46,57,21,22,157,157,118,118,18,23,15,49,0.4,0.6
2026-07-08T1300,2648A,104.1467,36.5482,白银市,动力公司,NA,NA,NA,46,16,14,171,171,117,117,11,19,11,16,0.4,0.4
2026-07-08T1300,2512A,106.6102,23.901,百色市,市监测站,,21,18,19,6,7,67,67,47,47,6,8,9,12,0.3,0.3
2026-07-08T1300,2513A,106.6524,23.8842,百色市,市中心血站,,19,15,21,9,11,58,58,42,42,4,6,7,12,0.4,0.5
2026-07-08T1300,4133A,106.6273,23.8798,百色市,龙景西路,,20,20,27,10,11,63,63,41,41,5,7,14,16,0.5,0.5
2026-07-08T1300,2270A,117.396,32.9389,蚌埠市,工人疗养院,,23,18,17,3,6,72,72,54,54,4,12,5,6,0.2,0.2
2026-07-08T1300,2271A,117.3606,32.9428,蚌埠市,百货大楼,,27,14,13,3,7,84,84,57,57,5,12,8,8,0.6,0.6
2026-07-08T1300,2273A,117.4183,32.8909,蚌埠市,蚌埠学院,,29,17,6,3,4,90,90,55,55,2,6,6,5,0.3,0.3
2026-07-08T1300,2274A,117.3534,32.9672,蚌埠市,淮上区政府,,26,17,11,3,6,83,83,54,54,2,10,5,5,0.3,0.4
2026-07-08T1300,2275A,117.3143,32.8977,蚌埠市,高新区,,26,12,9,3,8,83,83,54,54,2,9,8,9,0.4,0.4
2026-07-08T1300,3715A,117.3091,32.9314,蚌埠市,蚌埠田家炳中学,,28,18,17,3,9,89,89,57,57,2,9,7,7,0.5,0.5
2026-07-08T1300,1585A,109.8761,40.6533,包头市,市环境监测站,,41,20,20,9,8,131,131,75,75,7,19,7,8,0.3,0.4
2026-07-08T1300,1587A,109.9992,40.5843,包头市,包头八中,,36,16,22,3,9,114,114,69,69,7,19,10,13,0.4,0.5
2026-07-08T1300,1589A,109.8641,40.6288,包头市,惠龙物流,,39,21,17,6,8,124,124,78,78,7,16,5,6,0.4,0.4
2026-07-08T1300,1590A,110.0376,40.5546,包头市,东河鸿龙湾,,39,13,20,3,8,123,123,74,74,7,19,10,10,0.3,0.3
2026-07-08T1300,3283A,109.9154,40.5684,包头市,滨河大厦,,38,NA,13,12,8,119,119,67,67,10,24,10,10,0.4,0.5
2026-07-08T1300,3419A,109.9449,40.6259,包头市,包头市委党校,,38,9,9,3,8,121,121,72,72,8,21,9,11,0.1,0.2
2026-07-08T1300,3683A,109.8332,40.6577,包头市,昆区政府,NA,NA,11,17,3,8,120,120,73,73,NA,21,8,8,0.5,0.3
2026-07-08T1300,1931A,107.0802,34.3129,宝鸡市,竹园沟,臭氧1小时(O3_1h),64,34,26,22,16,171,171,110,110,5,6,8,7,0.9,0.5
2026-07-08T1300,1933A,107.1429,34.3549,宝鸡市,监测站,臭氧1小时(O3_1h),93,48,36,26,22,194,194,118,118,9,10,8,7,0.5,0.5
2026-07-08T1300,1934A,107.1172,34.3759,宝鸡市,技工学校,臭氧1小时(O3_1h),90,60,41,23,26,192,192,119,119,7,8,8,8,0.5,0.5
2026-07-08T1300,1936A,107.2025,34.3518,宝鸡市,文理学院,臭氧1小时(O3_1h),87,41,41,21,24,189,189,120,120,10,15,12,9,0.6,0.5
2026-07-08T1300,1937A,107.2396,34.3626,宝鸡市,三迪小学,臭氧1小时(O3_1h),101,54,44,20,25,201,201,121,121,12,17,12,9,0.5,0.5
2026-07-08T1300,4155A,107.1721,34.3558,宝鸡市,滨河北路,臭氧1小时(O3_1h),69,35,40,22,22,175,175,113,113,6,10,10,7,0.6,0.6
2026-07-08T1300,4308A,107.3898,34.3601,宝鸡市,陈仓区北开路21号,臭氧1小时(O3_1h),79,45,46,22,26,183,183,114,114,8,14,8,15,0.5,0.5
2026-07-08T1300,1051A,115.4803,38.8568,保定市,游泳馆,,44,NA,26,28,20,139,139,91,91,8,7,4,4,0.2,0.1
2026-07-08T1300,1052A,115.509,38.8895,保定市,华电二区,臭氧1小时(O3_1h),55,NA,23,28,17,164,164,103,103,7,9,3,2,0.6,0.5
2026-07-08T1300,1053A,115.4588,38.9037,保定市,接待中心,,44,32,33,24,20,140,140,93,93,3,7,2,2,0.6,0.5
2026-07-08T1300,1054A,115.4484,38.8344,保定市,地表水厂,,46,38,42,15,19,147,147,100,100,3,8,2,2,0.5,0.5
2026-07-08T1300,3581A,115.3136,38.9511,保定市,满城区生态环境分局,,50,31,23,22,15,158,158,104,104,5,9,1,1,0.2,0.2
2026-07-08T1300,3582A,115.4709,38.7628,保定市,清苑区第二中学,,47,44,47,20,18,148,148,116,116,2,6,6,6,0.4,0.3
2026-07-08T1300,3583A,115.6231,39.0223,保定市,徐水物探局,臭氧1小时(O3_1h),67,30,18,25,12,173,173,92,92,10,11,6,6,0.4,0.3
2026-07-08T1300,4004A,115.4199,38.8665,保定市,双鹰农机,颗粒物(PM10),56,58,31,27,20,146,146,99,99,5,9,3,3,0.3,0.2
2026-07-08T1300,4034A,115.515,38.8589,保定市,植保所站,NA,NA,NA,29,26,17,159,159,102,102,9,10,NA,9,0.3,0.2
2026-07-08T1300,2594A,99.1589,25.1137,保山市,市环境监测站,,14,10,8,3,6,43,43,26,26,5,7,5,6,0.3,0.3
2026-07-08T1300,2595A,99.1616,25.1381,保山市,市环保局,,43,NA,9,30,17,44,44,27,26,4,4,5,5,0.3,0.3
2026-07-08T1300,1867A,109.1435,21.4085,北海市,海滩公园,,32,12,36,3,6,100,100,71,71,4,3,3,2,0.3,0.3
2026-07-08T1300,1868A,109.0983,21.466,北海市,新市环保局,,28,6,13,3,5,88,88,70,70,9,8,3,2,0.3,0.3
2026-07-08T1300,1869A,109.1775,21.5232,北海市,北海工业园,NA,NA,6,11,3,3,79,79,57,57,8,9,1,2,NA,0.2
2026-07-08T1300,3400A,109.1844,21.4396,北海市,龙潭自来水厂,,26,6,10,3,2,82,82,61,61,4,4,5,5,0.5,0.5
2026-07-08T1300,1001A,116.3611,39.8786,北京市,万寿西宫,,50,12,30,10,20,159,159,98,98,6,11,3,3,0.4,0.4
2026-07-08T1300,1003A,116.4174,39.9289,北京市,东四,臭氧1小时(O3_1h),85,24,27,17,20,188,188,96,96,9,15,3,2,0.5,0.5
2026-07-08T1300,1004A,116.4073,39.8858,北京市,天坛,臭氧1小时(O3_1h),54,19,28,8,23,163,163,78,78,9,13,1,1,0.6,0.6
2026-07-08T1300,1005A,116.4622,39.9364,北京市,农展馆,臭氧1小时(O3_1h),60,25,32,18,22,168,168,77,77,13,18,2,1,0.5,0.4
2026-07-08T1300,1006A,116.3399,39.9293,北京市,官园,臭氧1小时(O3_1h),54,20,30,9,22,163,163,89,89,10,16,5,5,0.4,0.5
2026-07-08T1300,1007A,116.2879,39.9613,北京市,海淀万柳,,48,23,27,13,17,151,151,83,83,12,17,5,5,0.4,0.5
2026-07-08T1300,1008A,116.6635,40.1349,北京市,顺义新城,臭氧1小时(O3_1h),58,23,26,13,15,166,166,99,99,11,9,2,1,0.5,0.5
2026-07-08T1300,1009A,116.6275,40.327,北京市,怀柔镇,,40,18,20,10,11,128,128,89,89,7,7,3,3,0.5,0.5
2026-07-08T1300,1010A,116.2295,40.217,北京市,昌平镇,,45,20,20,10,11,141,141,81,81,9,10,4,3,0.6,0.6
2026-07-08T1300,1011A,116.3968,39.982,北京市,奥体中心,,44,23,27,12,17,140,140,86,86,11,15,2,4,0.5,0.3
2026-07-08T1300,3418A,116.8336,40.4095,北京市,密云新城,,36,12,20,8,10,115,115,71,71,1,5,1,1,0.4,0.4
2026-07-08T1300,3671A,116.0879,39.9725,北京市,门头沟三家店,,46,19,24,10,16,147,147,89,89,8,13,2,2,0.5,0.4
2026-07-08T1300,3672A,116.1507,39.8246,北京市,丰台云岗,,46,20,41,9,17,145,145,96,96,8,11,4,3,0.4,0.4
2026-07-08T1300,3674A,115.9578,39.7602,北京市,房山燕山,,37,15,29,10,16,118,118,91,91,5,9,1,1,0.4,0.4
2026-07-08T1300,3675A,116.4669,39.7734,北京市,大兴旧宫,,46,22,33,14,21,146,146,79,79,7,21,2,1,0.5,0.5
2026-07-08T1300,3694A,115.9859,40.4562,北京市,延庆石河营,,35,9,13,3,8,112,112,69,69,6,8,3,2,0.4,0.4
2026-07-08T1300,3695A,116.6151,40.3052,北京市,怀柔新城,,36,12,13,3,4,114,114,77,77,6,6,1,1,0.6,0.7
2026-07-08T1300,3696A,116.2542,39.8764,北京市,丰台小屯,,47,23,30,11,17,148,148,86,86,3,8,3,2,0.5,0.6
2026-07-08T1300,3697A,116.8399,40.3843,北京市,密云镇,,39,12,26,8,13,123,123,76,76,5,10,2,2,0.5,0.5
2026-07-08T1300,4057A,115.9423,40.4431,北京市,延庆百泉,,36,10,13,6,8,114,114,73,73,4,6,2,1,0.5,0.3
2026-07-08T1300,4058A,116.6598,39.9164,北京市,通州新华,臭氧1小时(O3_1h),53,25,32,20,18,162,162,92,92,13,19,2,2,0.7,0.7
2026-07-08T1300,4182A,116.1942,39.9158,北京市,石景山八角,,49,23,31,14,18,154,154,90,90,8,14,4,3,0.4,0.4
2026-07-08T1300,4194A,117.078628,40.151726,北京市,平谷新城,,39,18,22,11,14,122,122,79,79,1,3,2,2,0.6,0.5
2026-07-08T1300,1761A,123.8274146,41.31234549,本溪市,大峪,细颗粒物(PM2.5),74,NA,14,47,8,71,71,70,62,14,9,6,6,1.1,0.5
2026-07-08T1300,1763A,123.7169,41.3094,本溪市,彩屯,,30,12,17,8,8,95,95,58,58,4,14,5,6,0.6,1.1
2026-07-08T1300,1764A,123.7672166,41.28649327,本溪市,东明,,25,23,14,13,6,78,78,73,65,10,8,7,6,1.0,0.6
2026-07-08T1300,1765A,123.799345,41.266614,本溪市,新立屯,,27,16,14,10,5,85,85,71,66,7,8,9,8,0.7,0.5
2026-07-08T1300,1766A,123.829144,41.336777,本溪市,威宁,,25,20,14,17,8,77,77,62,59,9,6,6,8,1.0,0.5
2026-07-08T1300,2587A,105.287,27.3133,毕节市,八中,NA,NA,24,27,16,16,120,120,55,55,7,10,NA,10,0.7,0.7
2026-07-08T1300,2588A,105.3079,27.2987,毕节市,师专,,38,38,24,17,16,118,118,60,60,7,10,21,14,0.4,0.6
2026-07-08T1300,4263A,105.3688,27.3598,毕节市,工业大道,,39,23,33,18,14,122,122,49,49,4,14,7,7,/,/
2026-07-08T1300,1629A,117.9961,37.3604,滨州市,第二水厂,,50,6,16,3,8,160,160,114,114,1,6,6,6,0.3,0.4
2026-07-08T1300,1630A,117.9789,37.3931,滨州市,北中新校,臭氧1小时(O3_1h),70,7,20,3,9,176,176,120,120,5,10,12,11,0.4,0.5
2026-07-08T1300,3514A,117.9379,37.3959,滨州市,中海酒店,臭氧1小时(O3_1h),73,6,13,3,9,178,178,123,123,8,12,10,9,0.0,0.2
2026-07-08T1300,3515A,117.9381509,37.35547456,滨州市,开发区一中,,50,12,21,3,9,159,159,113,113,1,7,9,10,0.4,0.5
2026-07-08T1300,3516A,118.0914,37.6938,滨州市,金海六路,,49,15,18,3,12,154,154,99,99,3,13,6,7,0.3,0.6
2026-07-08T1300,4028A,117.9955,37.3752,滨州市,滨州市西街道办事处,臭氧1小时(O3_1h),58,6,13,3,8,166,166,118,118,2,6,4,4,0.3,0.4
2026-07-08T1300,2311A,115.8071,33.8399,亳州市,污水处理厂,NA,NA,9,6,3,6,104,104,52,52,6,12,2,3,NA,0.4
2026-07-08T1300,2312A,115.7789,33.8519,亳州市,三国揽胜宫,,35,20,16,9,9,110,110,54,54,2,9,4,4,0.3,0.2
2026-07-08T1300,3332A,115.7631,33.803,亳州市,亳州学院,,36,NA,6,9,9,113,113,56,56,4,10,2,2,0.3,0.3
2026-07-08T1300,2693A,82.0482,44.8553,博尔塔拉蒙古自治州,市党校,,37,14,18,3,5,117,117,89,82,5,3,3,3,0.2,0.2
2026-07-08T1300,2694A,82.0805,44.8966,博尔塔拉蒙古自治州,市环保局,,38,36,22,3,3,120,120,92,80,8,8,7,6,0.1,0.2
2026-07-08T1300,1071A,116.8733,38.2922,沧州市,沧县城建局,,32,8,19,8,15,100,100,78,78,4,7,4,4,0.0,0.1
2026-07-08T1300,1072A,116.8462,38.3189,沧州市,电视转播站,,42,25,34,9,13,132,132,94,94,6,10,6,8,0.2,0.2
2026-07-08T1300,1073A,116.8588,38.3161,沧州市,市环保局,,37,25,36,13,15,116,116,80,80,5,10,3,2,0.2,0.3
2026-07-08T1300,3324A,116.8011,38.294,沧州市,河北水利电力学院,,44,NA,16,16,15,138,138,96,96,4,8,3,10,0.4,0.4
2026-07-08T1300,2622A,97.1813,31.1289,昌都市,昌都监测站,,32,6,14,3,4,101,101,54,54,4,8,6,6,0.3,0.3
2026-07-08T1300,3719A,97.1707,31.1428,昌都市,昌都会议中心,NA,NA,6,10,3,5,103,103,56,56,NA,5,5,5,0.4,0.4
2026-07-08T1300,2692A,87.2722,44.0298,昌吉回族自治州,新区政务中心,,28,13,24,3,12,89,89,94,94,9,14,9,10,0.4,0.4
2026-07-08T1300,3613A,87.3069,44.0093,昌吉回族自治州,亚心广场,,31,17,32,3,14,99,99,99,99,12,15,8,9,0.1,0.2
2026-07-08T1300,4164A,87.2057,43.9289,昌吉回族自治州,财政所,,32,14,27,3,7,102,102,97,97,3,9,7,7,0.2,0.2
2026-07-08T1300,1120A,125.2874,43.9024,长春市,客车厂,,18,8,14,7,9,57,57,68,NA,6,8,4,4,0.4,0.4
2026-07-08T1300,1121A,125.2943,43.8508,长春市,邮电学院,,19,10,12,6,10,58,58,60,52,2,4,6,6,0.4,0.4
2026-07-08T1300,1122A,125.3648,43.8745,长春市,劳动公园,,15,6,12,3,10,48,48,61,48,5,9,6,6,0.4,0.4
2026-07-08T1300,1123A,125.3233,43.8781,长春市,园林处,,19,9,12,6,9,59,59,66,52,5,8,2,3,0.4,0.4
2026-07-08T1300,1124A,125.4604,43.7904,长春市,净月潭,,11,10,10,3,8,35,35,54,42,2,4,6,6,0.2,0.2
2026-07-08T1300,1126A,125.38,43.8422,长春市,经开区环卫处,,17,8,15,3,8,52,52,63,48,4,7,4,4,0.3,0.3
2026-07-08T1300,1127A,125.234,43.7761,长春市,高新区管委会,,19,NA,11,3,9,60,60,62,52,3,7,5,4,0.3,0.4
2026-07-08T1300,1128A,125.1695,43.83,长春市,岱山公园,,23,10,14,3,10,72,72,64,50,5,12,2,2,0.3,0.3
