timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-06-01T1500,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,24,12,19,7,7,74,74,62,62,4,5,7,7,0.3,0.3
2026-06-01T1500,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,23,8,16,6,7,73,73,64,64,5,5,6,6,0.2,0.3
2026-06-01T1500,2695A,80.2899,41.1684,阿克苏地区,电视台,颗粒物(PM10),88,102,198,41,75,120,120,102,102,3,14,3,3,0.6,0.8
2026-06-01T1500,2696A,80.2592,41.1541,阿克苏地区,艺术中心,颗粒物(PM10),94,111,188,46,84,123,123,96,96,4,26,4,4,0.5,0.7
2026-06-01T1500,2205A,105.699,38.8409,阿拉善盟,蒙二幼,,42,27,33,13,9,132,132,127,127,2,3,8,8,0.2,0.3
2026-06-01T1500,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,,40,28,32,6,6,126,126,125,125,2,3,10,10,0.3,0.3
2026-06-01T1500,2708A,88.1266,47.8515,阿勒泰地区,市站,,37,25,27,3,4,118,118,92,92,6,9,6,6,0.2,0.2
2026-06-01T1500,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,36,14,26,3,7,113,113,87,87,3,6,5,5,0.1,0.2
2026-06-01T1500,2630A,80.1171,32.4999,阿里地区,阿里监测站,,43,8,7,3,3,137,137,134,125,3,4,7,7,0.4,0.4
2026-06-01T1500,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,43,6,5,3,3,137,137,135,130,2,2,8,8,0.4,0.4
2026-06-01T1500,2644A,109.0088,32.6974,安康市,汉滨区检察院,,44,44,43,29,26,85,85,40,40,11,12,11,30,0.5,0.6
2026-06-01T1500,4054A,109.0324,32.6913,安康市,市邮政管理局,,45,45,44,29,28,95,95,48,48,9,13,4,29,0.5,0.5
2026-06-01T1500,2291A,117.0806,30.5181,安庆市,环科院,臭氧1小时(O3_1h),109,59,68,30,42,217,217,138,138,8,60,9,10,0.7,0.9
2026-06-01T1500,2292A,117.0331,30.5118,安庆市,马山宾馆,臭氧1小时(O3_1h),116,64,65,33,44,231,231,141,141,11,58,11,11,0.7,0.8
2026-06-01T1500,2294A,116.9897,30.6146,安庆市,安庆大学,臭氧1小时(O3_1h),70,48,58,25,39,176,176,142,142,5,15,5,5,0.6,0.6
2026-06-01T1500,3173A,117.0598,30.5351,安庆市,市人大,臭氧1小时(O3_1h),108,69,69,30,44,215,215,151,151,9,35,7,9,0.6,0.9
2026-06-01T1500,3123A,105.9408,26.2431,安顺市,凤凰山,,32,26,23,18,16,100,100,91,91,6,6,7,6,0.7,0.7
2026-06-01T1500,3124A,105.9443,26.2567,安顺市,金钟山,,30,26,22,19,17,95,95,89,89,6,5,7,7,0.6,0.6
2026-06-01T1500,3125A,105.8983,26.248,安顺市,娄家坡,,32,29,24,19,16,102,102,94,94,7,6,10,9,0.7,0.7
2026-06-01T1500,1819A,114.3552,36.1017,安阳市,红庙街,臭氧1小时(O3_1h),116,60,65,26,26,232,232,166,166,5,8,7,8,0.5,0.5
2026-06-01T1500,1820A,114.361,36.0681,安阳市,银杏小区,臭氧1小时(O3_1h),120,78,73,28,28,240,240,173,173,7,11,5,11,0.4,0.4
2026-06-01T1500,3141A,114.3921,36.0879,安阳市,信访局,臭氧1小时(O3_1h),123,85,70,37,29,245,245,182,182,4,11,5,5,0.4,0.4
2026-06-01T1500,3669A,114.4706,36.0634,安阳市,左辅环卫站,臭氧1小时(O3_1h),104,79,82,40,31,208,208,159,159,9,16,4,4,0.7,0.6
2026-06-01T1500,4117A,114.2918,36.0769,安阳市,钢三路198号,臭氧1小时(O3_1h),109,66,67,33,28,217,217,147,147,6,13,7,7,0.5,0.6
2026-06-01T1500,1748A,123.0441,41.1201,鞍山市,深沟寺,臭氧1小时(O3_1h),52,46,53,21,20,161,161,134,134,10,10,8,8,0.6,0.5
2026-06-01T1500,1749A,123.011,41.0931,鞍山市,太阳城,臭氧1小时(O3_1h),55,36,47,19,22,164,164,139,139,9,10,9,9,0.8,0.7
2026-06-01T1500,1750A,123.0483,41.1445,鞍山市,太平,臭氧1小时(O3_1h),59,56,57,25,22,167,167,141,141,13,14,9,8,0.9,0.8
2026-06-01T1500,1751A,122.964,41.0968,鞍山市,铁西三道街,臭氧1小时(O3_1h),74,56,71,25,23,179,179,147,147,14,15,8,8,0.7,0.7
2026-06-01T1500,1753A,123.0219,41.0822,鞍山市,明达新区,,49,37,41,24,23,154,154,136,136,10,10,8,8,0.6,0.6
2026-06-01T1500,4201A,122.944647,41.082639,鞍山市,兴盛南路290号,臭氧1小时(O3_1h),60,59,62,27,23,168,168,143,143,13,14,8,8,0.8,0.8
2026-06-01T1500,2195A,107.4206,40.7609,巴彦淖尔市,附二中,颗粒物(PM10),70,78,60,19,18,127,127,118,118,4,8,8,8,0.3,0.4
2026-06-01T1500,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,颗粒物(PM10),68,75,59,20,17,130,130,122,122,5,8,7,7,0.4,0.4
2026-06-01T1500,1956A,86.1476,41.7529,巴音郭楞蒙古自治州,孔雀公园,颗粒物(PM10),169,287,327,107,137,92,92,53,46,9,16,5,4,0.2,0.2
2026-06-01T1500,1957A,86.1971,41.7166,巴音郭楞蒙古自治州,棉纺厂,颗粒物(PM10),198,346,415,119,160,95,95,66,63,13,10,/,/,/,/
2026-06-01T1500,1958A,86.236,41.7172,巴音郭楞蒙古自治州,经济开发区,细颗粒物(PM2.5),241,263,319,191,153,84,84,56,55,15,9,2,2,0.4,0.3
2026-06-01T1500,3181A,106.776805,31.852614,巴中市,市五中,细颗粒物(PM2.5),60,46,42,40,36,72,72,30,30,9,19,7,6,0.7,0.8
2026-06-01T1500,3183A,106.7419,31.8654,巴中市,圣泉水务公司,细颗粒物(PM2.5),62,47,42,41,34,72,72,33,33,8,19,7,8,0.7,0.7
2026-06-01T1500,3616A,106.7617,31.8343,巴中市,市中心医院,细颗粒物(PM2.5),64,53,46,42,36,77,77,38,38,10,20,7,7,0.8,0.9
2026-06-01T1500,2235A,122.7909,45.608,白城市,洮北区环保局,NA,NA,19,58,3,20,107,107,89,88,NA,5,3,4,0.3,0.2
