timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-07-04T0000,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,28,28,26,8,8,58,58,119,98,4,4,3,3,0.2,0.2
2026-07-04T0000,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,19,6,12,6,7,60,60,113,96,5,5,2,3,0.0,0.1
2026-07-04T0000,2695A,80.2899,41.1684,阿克苏地区,电视台,颗粒物(PM10),101,122,115,59,43,91,91,112,106,13,10,4,4,0.3,0.3
2026-07-04T0000,2696A,80.2592,41.1541,阿克苏地区,艺术中心,细颗粒物(PM2.5),92,93,84,56,53,92,92,117,109,20,16,4,4,0.4,0.4
2026-07-04T0000,2205A,105.699,38.8409,阿拉善盟,蒙二幼,,46,18,34,3,8,145,145,168,164,6,5,12,12,0.4,0.3
2026-07-04T0000,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,,50,20,26,3,6,157,157,168,168,4,4,10,9,0.4,0.4
2026-07-04T0000,2708A,88.1266,47.8515,阿勒泰地区,市站,,33,26,24,11,4,104,104,131,121,13,10,6,7,0.3,0.4
2026-07-04T0000,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,34,32,27,3,4,108,108,115,113,2,6,6,6,0.2,0.2
2026-07-04T0000,2630A,80.1171,32.4999,阿里地区,阿里监测站,,34,16,10,3,5,106,106,132,126,9,4,5,4,0.3,0.3
2026-07-04T0000,3192A,80.0906,32.5029,阿里地区,阿里藏医院,NA,NA,NA,9,NA,3,110,110,133,130,NA,2,NA,7,0.4,0.5
2026-07-04T0000,2644A,109.0088,32.6974,安康市,汉滨区检察院,,19,19,21,9,10,47,47,119,88,10,7,2,3,0.4,0.4
2026-07-04T0000,4054A,109.0324,32.6913,安康市,市邮政管理局,,22,22,24,10,14,50,50,127,92,10,7,5,3,0.5,0.6
2026-07-04T0000,2291A,117.0806,30.5181,安庆市,环科院,,17,17,16,8,12,22,22,54,34,14,14,9,9,0.5,0.5
2026-07-04T0000,2292A,117.0331,30.5118,安庆市,马山宾馆,,16,16,16,8,11,26,26,57,34,19,17,2,2,0.4,0.5
2026-07-04T0000,2294A,116.9897,30.6146,安庆市,安庆大学,,19,19,15,12,11,25,25,49,35,12,9,3,3,0.5,0.5
2026-07-04T0000,3173A,117.0598,30.5351,安庆市,市人大,,20,15,16,14,11,24,24,63,42,17,12,7,6,0.6,0.5
2026-07-04T0000,3123A,105.9408,26.2431,安顺市,凤凰山,,28,20,12,19,9,34,34,55,43,4,4,8,8,0.4,0.4
2026-07-04T0000,3124A,105.9443,26.2567,安顺市,金钟山,,13,8,9,8,8,39,39,60,47,3,4,7,7,0.3,0.3
2026-07-04T0000,3125A,105.8983,26.248,安顺市,娄家坡,,13,10,9,9,9,36,36,58,45,3,2,6,6,0.4,0.4
2026-07-04T0000,1819A,114.3552,36.1017,安阳市,红庙街,,35,10,37,3,21,111,111,177,153,9,15,4,6,0.5,0.4
2026-07-04T0000,1820A,114.361,36.0681,安阳市,银杏小区,,36,27,44,7,25,115,115,180,157,6,6,2,3,0.3,0.4
2026-07-04T0000,3141A,114.3921,36.0879,安阳市,信访局,,40,24,44,8,24,126,126,189,168,6,9,1,3,0.4,0.5
2026-07-04T0000,3669A,114.4706,36.0634,安阳市,左辅环卫站,,32,31,41,9,20,101,101,162,142,10,11,2,3,0.3,0.8
2026-07-04T0000,4117A,114.2918,36.0769,安阳市,钢三路198号,,36,21,44,3,23,114,114,169,150,6,8,4,4,0.4,0.5
2026-07-04T0000,1748A,123.0441,41.1201,鞍山市,深沟寺,细颗粒物(PM2.5),52,38,31,36,26,153,153,136,136,3,4,7,6,0.7,0.6
2026-07-04T0000,1749A,123.011,41.0931,鞍山市,太阳城,细颗粒物(PM2.5),62,42,32,41,28,156,156,138,138,5,9,7,7,0.9,0.8
2026-07-04T0000,1750A,123.0483,41.1445,鞍山市,太平,,50,50,43,30,25,150,150,136,136,8,9,7,7,0.4,0.7
2026-07-04T0000,1751A,122.964,41.0968,鞍山市,铁西三道街,颗粒物(PM10),55,56,41,37,28,153,153,135,135,8,8,5,5,1.5,0.9
2026-07-04T0000,1753A,123.0219,41.0822,鞍山市,明达新区,,49,39,31,34,25,155,155,138,138,5,6,5,5,0.7,0.7
2026-07-04T0000,4201A,122.944647,41.082639,鞍山市,兴盛南路290号,细颗粒物(PM2.5),72,53,42,46,31,134,134,120,120,15,12,4,4,1.2,0.9
2026-07-04T0000,2195A,107.4206,40.7609,巴彦淖尔市,附二中,,47,38,48,16,21,148,148,174,162,16,15,19,14,1.0,0.7
2026-07-04T0000,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,,46,43,57,17,18,145,145,168,156,13,15,15,11,0.8,0.7
2026-07-04T0000,1956A,86.1476,41.7529,巴音郭楞蒙古自治州,孔雀公园,,39,31,37,8,6,124,124,124,124,7,6,6,6,0.2,0.2
2026-07-04T0000,1957A,86.1971,41.7166,巴音郭楞蒙古自治州,棉纺厂,,38,38,38,18,7,99,99,121,113,22,12,/,/,/,/
2026-07-04T0000,1958A,86.236,41.7172,巴音郭楞蒙古自治州,经济开发区,,35,26,34,9,6,110,110,120,117,9,7,5,4,0.2,0.1
2026-07-04T0000,3181A,106.776805,31.852614,巴中市,市五中,,26,26,22,17,13,30,30,101,74,12,7,8,8,0.5,0.5
2026-07-04T0000,3183A,106.7419,31.8654,巴中市,圣泉水务公司,,29,NA,20,20,12,24,24,102,69,25,11,8,8,0.7,0.6
2026-07-04T0000,3616A,106.7617,31.8343,巴中市,市中心医院,,35,35,25,16,13,27,27,108,74,18,8,7,7,0.8,0.7
2026-07-04T0000,2235A,122.7909,45.608,白城市,洮北区环保局,,19,14,23,13,20,44,44,102,76,20,8,8,4,0.1,0.2
2026-07-04T0000,2236A,122.8741,45.5725,白城市,市环保局,,20,NA,20,12,19,62,62,105,84,9,8,4,3,0.1,0.2
2026-07-04T0000,2231A,126.4219,41.9172,白山市,喜丰,,31,28,30,9,15,99,99,99,93,7,8,8,8,0.8,0.7
2026-07-04T0000,2232A,126.4082,41.9416,白山市,环保局,,35,13,22,8,19,111,111,100,90,2,5,10,11,0.7,0.6
2026-07-04T0000,2647A,104.1727,36.5448,白银市,第三小学,,33,28,24,15,11,105,105,132,121,9,14,16,10,0.5,0.4
2026-07-04T0000,2648A,104.1467,36.5482,白银市,动力公司,,33,32,18,11,8,105,105,132,124,10,10,8,4,0.3,0.3
2026-07-04T0000,2512A,106.6102,23.901,百色市,市监测站,,13,7,24,6,6,39,39,82,58,6,9,6,8,0.2,0.3
2026-07-04T0000,2513A,106.6524,23.8842,百色市,市中心血站,,12,10,29,8,12,38,38,79,57,9,11,9,11,0.5,0.5
2026-07-04T0000,4133A,106.6273,23.8798,百色市,龙景西路,,21,21,35,9,9,46,46,84,63,7,11,15,12,0.8,0.8
2026-07-04T0000,2270A,117.396,32.9389,蚌埠市,工人疗养院,,26,NA,17,18,7,54,54,84,70,12,12,4,4,0.5,0.3
2026-07-04T0000,2271A,117.3606,32.9428,蚌埠市,百货大楼,,46,NA,13,32,6,55,55,83,64,9,12,7,7,0.7,0.5
2026-07-04T0000,2273A,117.4183,32.8909,蚌埠市,蚌埠学院,,20,NA,8,3,5,64,64,86,71,2,7,5,5,0.3,0.3
