timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-05-31T2200,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,32,32,14,6,7,66,66,82,81,6,4,7,7,0.3,0.3
2026-05-31T2200,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,32,32,13,8,8,70,70,81,81,6,5,5,6,0.3,0.3
2026-05-31T2200,2695A,80.2899,41.1684,阿克苏地区,电视台,颗粒物(PM10),149,245,281,107,111,85,85,88,87,23,23,3,3,0.8,0.9
2026-05-31T2200,2696A,80.2592,41.1541,阿克苏地区,艺术中心,细颗粒物(PM2.5),139,199,255,102,117,85,85,95,94,31,31,4,4,0.7,0.8
2026-05-31T2200,2205A,105.699,38.8409,阿拉善盟,蒙二幼,,40,40,134,8,42,76,76,116,102,14,3,7,7,0.4,0.2
2026-05-31T2200,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,,29,28,114,8,40,92,92,118,97,4,3,9,10,0.3,0.3
2026-05-31T2200,2708A,88.1266,47.8515,阿勒泰地区,市站,,30,30,28,11,4,64,64,105,99,35,10,10,6,0.3,0.2
2026-05-31T2200,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,30,23,28,3,5,96,96,103,103,10,7,5,4,0.2,0.2
2026-05-31T2200,2630A,80.1171,32.4999,阿里地区,阿里监测站,,41,7,12,3,2,130,130,137,135,2,7,7,7,0.4,0.4
2026-05-31T2200,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,41,6,8,3,3,131,131,138,137,1,3,7,7,0.4,0.3
2026-05-31T2200,2644A,109.0088,32.6974,安康市,汉滨区检察院,,41,41,35,22,20,45,45,101,90,14,10,7,14,0.5,0.5
2026-05-31T2200,4054A,109.0324,32.6913,安康市,市邮政管理局,,50,50,38,32,24,50,50,108,94,17,10,7,6,0.6,0.5
2026-05-31T2200,2291A,117.0806,30.5181,安庆市,环科院,颗粒物(PM10),65,70,59,39,40,116,116,223,192,68,26,9,9,0.7,0.7
2026-05-31T2200,2292A,117.0331,30.5118,安庆市,马山宾馆,颗粒物(PM10),63,68,62,41,41,102,102,222,189,87,26,10,10,0.7,0.7
2026-05-31T2200,2294A,116.9897,30.6146,安庆市,安庆大学,细颗粒物(PM2.5),76,62,56,48,37,119,119,203,186,19,13,3,4,0.6,0.6
2026-05-31T2200,3173A,117.0598,30.5351,安庆市,市人大,细颗粒物(PM2.5),66,62,61,43,41,135,135,226,199,36,21,6,6,0.7,0.7
2026-05-31T2200,3123A,105.9408,26.2431,安顺市,凤凰山,,33,33,34,17,20,78,78,103,100,9,9,7,6,0.7,0.7
2026-05-31T2200,3124A,105.9443,26.2567,安顺市,金钟山,,33,33,32,18,19,79,79,103,100,6,6,8,7,0.5,0.6
2026-05-31T2200,3125A,105.8983,26.248,安顺市,娄家坡,,35,30,32,24,20,80,80,108,104,8,6,9,8,0.7,0.6
2026-05-31T2200,1819A,114.3552,36.1017,安阳市,红庙街,颗粒物(PM10),78,88,62,28,23,144,144,169,166,12,12,18,10,0.5,0.5
2026-05-31T2200,1820A,114.361,36.0681,安阳市,银杏小区,颗粒物(PM10),109,141,71,32,24,147,147,175,172,15,15,6,14,0.5,0.4
2026-05-31T2200,3141A,114.3921,36.0879,安阳市,信访局,颗粒物(PM10),77,87,68,30,26,154,154,182,178,16,13,3,4,0.4,0.3
2026-05-31T2200,3669A,114.4706,36.0634,安阳市,左辅环卫站,颗粒物(PM10),80,92,77,26,25,134,134,171,164,15,15,2,4,0.5,0.6
2026-05-31T2200,4117A,114.2918,36.0769,安阳市,钢三路198号,颗粒物(PM10),67,73,58,27,23,135,135,160,155,12,13,4,5,0.4,0.5
2026-05-31T2200,1748A,123.0441,41.1201,鞍山市,深沟寺,臭氧1小时(O3_1h),78,56,46,23,18,182,182,169,166,10,12,8,10,0.5,0.6
2026-05-31T2200,1749A,123.011,41.0931,鞍山市,太阳城,臭氧1小时(O3_1h),88,50,42,25,20,190,190,172,171,8,12,9,10,0.6,0.7
2026-05-31T2200,1750A,123.0483,41.1445,鞍山市,太平,臭氧1小时(O3_1h),83,57,59,22,20,186,186,172,171,13,14,9,10,0.8,0.8
2026-05-31T2200,1751A,122.964,41.0968,鞍山市,铁西三道街,NA,NA,63,65,29,22,NA,NA,179,174,14,16,8,9,0.5,0.7
2026-05-31T2200,1753A,123.0219,41.0822,鞍山市,明达新区,臭氧1小时(O3_1h),79,44,44,24,19,183,183,166,165,9,11,8,9,0.5,0.6
2026-05-31T2200,4201A,122.944647,41.082639,鞍山市,兴盛南路290号,臭氧1小时(O3_1h),74,73,72,24,23,179,179,171,168,16,19,9,11,0.9,1.1
2026-05-31T2200,2195A,107.4206,40.7609,巴彦淖尔市,附二中,颗粒物(PM10),54,55,114,21,39,78,78,110,102,14,6,8,9,0.4,0.4
2026-05-31T2200,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,,43,43,111,14,38,69,69,113,102,18,6,7,8,0.4,0.4
2026-05-31T2200,1956A,86.1476,41.7529,巴音郭楞蒙古自治州,孔雀公园,颗粒物(PM10),378,482,200,178,73,81,81,97,92,14,30,4,4,0.2,0.3
2026-05-31T2200,1957A,86.1971,41.7166,巴音郭楞蒙古自治州,棉纺厂,细颗粒物(PM2.5),242,365,248,192,95,89,89,106,101,15,15,/,/,/,/
2026-05-31T2200,1958A,86.236,41.7172,巴音郭楞蒙古自治州,经济开发区,颗粒物(PM10),262,393,198,152,72,88,88,108,96,13,6,2,2,0.3,0.2
2026-05-31T2200,3181A,106.776805,31.852614,巴中市,市五中,细颗粒物(PM2.5),72,49,32,46,22,39,39,105,92,23,16,7,7,0.8,0.7
2026-05-31T2200,3183A,106.7419,31.8654,巴中市,圣泉水务公司,细颗粒物(PM2.5),60,48,32,40,22,23,23,108,97,49,20,8,8,0.8,0.5
2026-05-31T2200,3616A,106.7617,31.8343,巴中市,市中心医院,细颗粒物(PM2.5),72,59,39,46,28,36,36,114,96,35,19,7,7,0.9,0.8
2026-05-31T2200,2235A,122.7909,45.608,白城市,洮北区环保局,颗粒物(PM10),54,55,85,24,25,110,110,189,127,4,9,4,4,0.2,0.4
2026-05-31T2200,2236A,122.8741,45.5725,白城市,市环保局,颗粒物(PM10),55,56,95,17,21,88,88,149,102,8,14,5,5,0.2,0.3
2026-05-31T2200,2231A,126.4219,41.9172,白山市,喜丰,臭氧1小时(O3_1h),75,31,70,6,10,180,180,172,172,4,17,11,11,0.6,0.7
2026-05-31T2200,2232A,126.4082,41.9416,白山市,环保局,,49,35,31,22,13,154,154,172,167,10,12,14,12,0.6,0.6
2026-05-31T2200,2647A,104.1727,36.5448,白银市,第三小学,,38,38,154,22,63,100,100,128,120,16,9,13,6,0.4,0.4
2026-05-31T2200,2648A,104.1467,36.5482,白银市,动力公司,,35,19,136,18,50,109,109,128,124,15,9,10,7,0.4,0.3
2026-05-31T2200,2512A,106.6102,23.901,百色市,市监测站,NA,NA,40,38,18,11,NA,NA,124,123,14,6,14,8,0.8,0.7
2026-05-31T2200,2513A,106.6524,23.8842,百色市,市中心血站,,38,38,37,21,21,100,100,118,115,10,14,16,10,0.7,0.6
2026-05-31T2200,4133A,106.6273,23.8798,百色市,龙景西路,,35,35,43,24,18,94,94,130,122,14,13,15,11,0.7,0.6
2026-05-31T2200,2270A,117.396,32.9389,蚌埠市,工人疗养院,臭氧1小时(O3_1h),78,64,73,23,32,182,182,188,175,17,14,7,6,0.5,0.5
2026-05-31T2200,2271A,117.3606,32.9428,蚌埠市,百货大楼,臭氧1小时(O3_1h),92,48,65,17,37,193,193,188,176,12,12,9,9,0.5,0.6
2026-05-31T2200,2273A,117.4183,32.8909,蚌埠市,蚌埠学院,臭氧1小时(O3_1h),64,63,66,25,34,171,171,187,170,16,11,7,6,0.5,0.4
2026-05-31T2200,2274A,117.3534,32.9672,蚌埠市,淮上区政府,臭氧1小时(O3_1h),87,46,62,18,35,189,189,192,178,13,12,7,7,0.4,0.4
