timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-06-02T1400,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,22,6,15,6,9,68,68,26,26,6,5,7,7,0.3,0.4
2026-06-02T1400,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,21,10,9,6,7,67,67,28,28,5,5,6,6,0.3,0.3
2026-06-02T1400,2695A,80.2899,41.1684,阿克苏地区,电视台,,47,47,92,21,42,119,119,80,80,4,12,4,3,0.6,0.7
2026-06-02T1400,2696A,80.2592,41.1541,阿克苏地区,艺术中心,颗粒物(PM10),59,62,108,20,45,124,124,77,77,5,28,4,4,0.5,0.6
2026-06-02T1400,2205A,105.699,38.8409,阿拉善盟,蒙二幼,,43,32,37,3,14,136,136,130,130,4,5,8,9,0.2,0.2
2026-06-02T1400,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,,40,25,33,8,12,127,127,129,128,2,4,10,11,0.3,0.3
2026-06-02T1400,2708A,88.1266,47.8515,阿勒泰地区,市站,,33,29,29,3,4,104,104,79,79,9,9,6,6,0.3,0.2
2026-06-02T1400,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,30,30,32,3,7,95,95,80,78,5,5,5,5,0.2,0.2
2026-06-02T1400,2630A,80.1171,32.4999,阿里地区,阿里监测站,,41,24,12,8,4,131,131,101,101,6,7,7,7,0.4,0.4
2026-06-02T1400,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,43,19,9,8,4,137,137,107,107,2,3,8,8,0.4,0.4
2026-06-02T1400,2644A,109.0088,32.6974,安康市,汉滨区检察院,,49,48,63,34,39,92,92,42,42,8,13,28,16,0.6,0.6
2026-06-02T1400,4054A,109.0324,32.6913,安康市,市邮政管理局,,49,45,64,34,42,91,91,43,43,8,12,25,6,0.5,0.6
2026-06-02T1400,2291A,117.0806,30.5181,安庆市,环科院,臭氧1小时(O3_1h),77,70,71,48,53,181,181,126,126,9,28,8,8,0.8,0.8
2026-06-02T1400,2292A,117.0331,30.5118,安庆市,马山宾馆,细颗粒物(PM2.5),70,68,68,45,51,172,172,127,127,19,30,10,10,0.8,0.8
2026-06-02T1400,2294A,116.9897,30.6146,安庆市,安庆大学,NA,NA,64,68,49,49,161,161,136,136,8,12,NA,5,0.7,0.7
2026-06-02T1400,3173A,117.0598,30.5351,安庆市,市人大,臭氧1小时(O3_1h),87,73,70,48,52,189,189,140,140,9,18,6,6,0.8,0.8
2026-06-02T1400,3123A,105.9408,26.2431,安顺市,凤凰山,,24,22,43,16,25,74,74,70,60,6,9,5,8,0.7,0.7
2026-06-02T1400,3124A,105.9443,26.2567,安顺市,金钟山,,29,22,42,20,24,75,75,67,62,4,7,5,8,0.6,0.6
2026-06-02T1400,3125A,105.8983,26.248,安顺市,娄家坡,,43,34,36,30,26,79,79,73,65,7,8,7,13,0.7,0.7
2026-06-02T1400,1819A,114.3552,36.1017,安阳市,红庙街,臭氧1小时(O3_1h),118,93,107,45,44,236,236,164,164,3,17,8,9,0.6,0.7
2026-06-02T1400,1820A,114.361,36.0681,安阳市,银杏小区,臭氧1小时(O3_1h),121,102,114,32,46,242,242,166,166,6,19,6,7,0.5,0.5
2026-06-02T1400,3141A,114.3921,36.0879,安阳市,信访局,臭氧1小时(O3_1h),131,104,111,36,48,261,261,177,177,3,20,7,5,0.5,0.5
2026-06-02T1400,3669A,114.4706,36.0634,安阳市,左辅环卫站,臭氧1小时(O3_1h),112,95,119,32,46,224,224,154,154,8,19,6,4,0.8,0.7
2026-06-02T1400,4117A,114.2918,36.0769,安阳市,钢三路198号,臭氧1小时(O3_1h),107,68,105,40,45,214,214,160,160,4,13,7,6,0.5,0.6
2026-06-02T1400,1748A,123.0441,41.1201,鞍山市,深沟寺,臭氧1小时(O3_1h),58,45,40,19,20,166,166,161,161,11,9,7,8,0.6,0.5
2026-06-02T1400,1749A,123.011,41.0931,鞍山市,太阳城,臭氧1小时(O3_1h),53,38,39,19,21,162,162,162,162,15,10,8,8,0.8,0.6
2026-06-02T1400,1750A,123.0483,41.1445,鞍山市,太平,臭氧1小时(O3_1h),64,53,44,20,21,171,171,163,163,15,12,8,8,0.9,0.8
2026-06-02T1400,1751A,122.964,41.0968,鞍山市,铁西三道街,臭氧1小时(O3_1h),63,49,47,20,23,170,170,166,166,15,14,6,7,0.6,0.6
2026-06-02T1400,1753A,123.0219,41.0822,鞍山市,明达新区,臭氧1小时(O3_1h),52,37,36,19,20,161,161,158,158,10,9,7,7,0.6,0.5
2026-06-02T1400,4201A,122.944647,41.082639,鞍山市,兴盛南路290号,臭氧1小时(O3_1h),52,50,56,22,23,161,161,157,157,13,14,8,9,0.6,0.8
2026-06-02T1400,2195A,107.4206,40.7609,巴彦淖尔市,附二中,,36,36,49,9,13,115,115,102,102,4,8,8,10,0.3,0.4
2026-06-02T1400,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,,41,41,48,3,14,123,123,109,109,6,8,8,8,0.4,0.5
2026-06-02T1400,1956A,86.1476,41.7529,巴音郭楞蒙古自治州,孔雀公园,颗粒物(PM10),80,91,111,26,37,115,115,83,77,5,11,4,5,0.1,0.2
2026-06-02T1400,1957A,86.1971,41.7166,巴音郭楞蒙古自治州,棉纺厂,颗粒物(PM10),75,85,128,22,47,132,132,85,85,9,15,/,/,/,/
2026-06-02T1400,1958A,86.236,41.7172,巴音郭楞蒙古自治州,经济开发区,颗粒物(PM10),56,58,96,22,49,126,126,95,95,4,6,2,2,0.3,0.3
2026-06-02T1400,3181A,106.776805,31.852614,巴中市,市五中,,43,36,38,30,32,71,71,46,46,8,12,7,6,0.7,0.7
2026-06-02T1400,3183A,106.7419,31.8654,巴中市,圣泉水务公司,,46,39,42,32,33,68,68,42,42,8,17,8,7,0.8,0.7
2026-06-02T1400,3616A,106.7617,31.8343,巴中市,市中心医院,,40,36,38,28,31,76,76,48,48,6,11,7,6,0.7,0.8
2026-06-02T1400,2235A,122.7909,45.608,白城市,洮北区环保局,,35,16,25,6,7,109,109,77,77,4,9,4,3,0.2,0.3
2026-06-02T1400,2236A,122.8741,45.5725,白城市,市环保局,,33,14,17,3,5,104,104,73,73,11,14,4,4,0.2,0.2
2026-06-02T1400,2231A,126.4219,41.9172,白山市,喜丰,臭氧1小时(O3_1h),58,54,51,7,14,166,166,134,134,8,18,10,10,0.7,0.7
2026-06-02T1400,2232A,126.4082,41.9416,白山市,环保局,臭氧1小时(O3_1h),59,42,34,10,19,167,167,142,142,7,12,11,11,0.6,0.6
2026-06-02T1400,2647A,104.1727,36.5448,白银市,第三小学,颗粒物(PM10),60,63,69,24,32,137,137,97,97,8,26,12,21,0.5,0.7
2026-06-02T1400,2648A,104.1467,36.5482,白银市,动力公司,颗粒物(PM10),53,53,70,11,23,140,140,97,97,7,28,18,17,0.4,0.5
2026-06-02T1400,2512A,106.6102,23.901,百色市,市监测站,"颗粒物(PM10),细颗粒物(PM2.5)",52,52,50,36,33,147,147,82,82,10,17,10,11,0.8,0.8
2026-06-02T1400,2513A,106.6524,23.8842,百色市,市中心血站,细颗粒物(PM2.5),76,55,51,48,38,147,147,86,86,7,13,10,14,0.7,0.8
2026-06-02T1400,4133A,106.6273,23.8798,百色市,龙景西路,颗粒物(PM10),63,68,55,35,37,158,158,85,85,12,16,14,14,0.7,0.7
2026-06-02T1400,2270A,117.396,32.9389,蚌埠市,工人疗养院,臭氧1小时(O3_1h),120,89,90,26,43,239,239,152,152,12,35,6,8,0.5,0.5
2026-06-02T1400,2271A,117.3606,32.9428,蚌埠市,百货大楼,臭氧1小时(O3_1h),121,75,72,31,40,242,242,169,169,11,27,8,10,0.5,0.6
2026-06-02T1400,2273A,117.4183,32.8909,蚌埠市,蚌埠学院,臭氧1小时(O3_1h),116,70,77,23,43,231,231,168,168,6,16,6,7,0.5,0.5
2026-06-02T1400,2274A,117.3534,32.9672,蚌埠市,淮上区政府,臭氧1小时(O3_1h),120,75,78,27,40,240,240,163,163,7,28,6,8,0.4,0.4
2026-06-02T1400,2275A,117.3143,32.8977,蚌埠市,高新区,臭氧1小时(O3_1h),113,90,92,32,44,226,226,169,169,9,18,7,7,0.4,0.4
2026-06-02T1400,3715A,117.3091,32.9314,蚌埠市,蚌埠田家炳中学,臭氧1小时(O3_1h),120,97,80,31,42,240,240,177,177,10,20,7,8,0.5,0.6
2026-06-02T1400,1585A,109.8761,40.6533,包头市,市环境监测站,颗粒物(PM10),53,53,51,13,21,139,139,109,109,5,20,7,18,0.4,0.7
2026-06-02T1400,1587A,109.9992,40.5843,包头市,包头八中,臭氧1小时(O3_1h),72,70,55,29,21,177,177,110,110,11,23,18,14,0.5,0.4
2026-06-02T1400,1589A,109.8641,40.6288,包头市,惠龙物流,颗粒物(PM10),59,62,48,16,21,139,139,116,116,6,18,9,18,0.2,0.4
2026-06-02T1400,1590A,110.0376,40.5546,包头市,东河鸿龙湾,臭氧1小时(O3_1h),85,70,46,26,20,188,188,111,111,10,23,21,16,0.6,0.6
2026-06-02T1400,3283A,109.9154,40.5684,包头市,滨河大厦,臭氧1小时(O3_1h),82,68,40,26,22,185,185,110,110,12,22,21,11,0.6,0.4
2026-06-02T1400,3419A,109.9449,40.6259,包头市,包头市委党校,臭氧1小时(O3_1h),63,60,41,26,25,170,170,111,111,12,20,18,18,0.7,0.6
2026-06-02T1400,3683A,109.8332,40.6577,包头市,昆区政府,,43,43,46,11,19,132,132,103,103,4,26,5,18,0.3,0.9
2026-06-02T1400,1931A,107.0802,34.3129,宝鸡市,竹园沟,颗粒物(PM10),57,59,57,23,22,145,145,89,89,4,6,9,8,0.3,0.2
2026-06-02T1400,1933A,107.1429,34.3549,宝鸡市,监测站,,45,45,64,21,26,132,132,88,88,4,10,5,5,0.5,0.5
2026-06-02T1400,1934A,107.1172,34.3759,宝鸡市,技工学校,颗粒物(PM10),65,70,61,22,27,144,144,94,94,7,9,5,6,0.5,0.5
2026-06-02T1400,1936A,107.2025,34.3518,宝鸡市,文理学院,,46,44,65,20,28,145,145,92,92,6,12,6,6,0.4,0.4
2026-06-02T1400,1937A,107.2396,34.3626,宝鸡市,三迪小学,颗粒物(PM10),71,79,74,31,30,152,152,99,99,8,15,7,7,0.4,0.4
2026-06-02T1400,4155A,107.1721,34.3558,宝鸡市,滨河北路,,42,41,65,20,24,134,134,85,85,4,10,9,9,0.6,0.6
