timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-07-16T2300,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,28,28,23,3,8,29,29,66,48,3,5,4,4,0.5,0.5
2026-07-16T2300,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,11,9,13,6,9,33,33,66,52,5,6,2,2,0.4,0.3
2026-07-16T2300,2695A,80.2899,41.1684,阿克苏地区,电视台,颗粒物(PM10),81,93,41,38,11,66,66,137,123,44,10,4,5,0.7,0.4
2026-07-16T2300,2696A,80.2592,41.1541,阿克苏地区,艺术中心,颗粒物(PM10),63,67,30,26,32,60,60,144,130,66,19,4,4,0.5,0.3
2026-07-16T2300,2205A,105.699,38.8409,阿拉善盟,蒙二幼,,38,26,20,7,7,119,119,152,146,11,5,10,10,0.5,0.4
2026-07-16T2300,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,,35,17,16,6,4,112,112,148,136,5,5,9,10,0.5,0.5
2026-07-16T2300,2708A,88.1266,47.8515,阿勒泰地区,市站,,33,28,26,9,4,103,103,117,115,10,13,8,7,0.4,0.4
2026-07-16T2300,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,36,36,22,12,6,114,114,122,121,2,5,8,7,0.3,0.3
2026-07-16T2300,2630A,80.1171,32.4999,阿里地区,阿里监测站,臭氧1小时(O3_1h),59,NA,17,12,5,167,167,166,166,5,6,5,5,0.2,0.2
2026-07-16T2300,3192A,80.0906,32.5029,阿里地区,阿里藏医院,臭氧1小时(O3_1h),60,11,17,3,5,168,168,173,173,4,3,4,4,0.2,0.2
2026-07-16T2300,2644A,109.0088,32.6974,安康市,汉滨区检察院,,18,9,23,3,12,57,57,82,68,5,5,3,3,0.5,0.4
2026-07-16T2300,4054A,109.0324,32.6913,安康市,市邮政管理局,,16,8,23,3,12,51,51,86,68,5,5,1,3,1.0,0.7
2026-07-16T2300,2291A,117.0806,30.5181,安庆市,环科院,,21,21,16,12,7,52,52,78,68,18,15,10,9,0.6,0.5
2026-07-16T2300,2292A,117.0331,30.5118,安庆市,马山宾馆,,22,22,12,13,7,45,45,73,63,21,17,2,2,0.4,0.4
2026-07-16T2300,2294A,116.9897,30.6146,安庆市,安庆大学,,25,24,15,17,8,52,52,78,69,14,11,4,4,0.4,0.4
2026-07-16T2300,3173A,117.0598,30.5351,安庆市,市人大,,19,17,14,11,7,59,59,78,72,8,10,5,6,0.4,0.4
2026-07-16T2300,3123A,105.9408,26.2431,安顺市,凤凰山,,20,19,16,14,14,48,48,72,62,4,5,5,5,0.5,0.5
2026-07-16T2300,3124A,105.9443,26.2567,安顺市,金钟山,,26,NA,16,18,15,57,57,83,74,3,4,6,6,0.5,0.5
2026-07-16T2300,3125A,105.8983,26.248,安顺市,娄家坡,,17,17,14,3,12,52,52,80,70,3,3,5,6,0.4,0.4
2026-07-16T2300,1819A,114.3552,36.1017,安阳市,红庙街,,43,43,30,26,21,117,117,143,136,11,8,4,4,0.6,0.7
2026-07-16T2300,1820A,114.361,36.0681,安阳市,银杏小区,,48,35,33,33,24,131,131,144,142,11,10,1,2,0.6,0.7
2026-07-16T2300,3141A,114.3921,36.0879,安阳市,信访局,,49,40,30,34,24,130,130,153,144,7,6,2,2,0.2,0.3
2026-07-16T2300,3669A,114.4706,36.0634,安阳市,左辅环卫站,颗粒物(PM10),53,53,36,35,23,88,88,121,104,13,8,3,2,0.6,0.5
2026-07-16T2300,4117A,114.2918,36.0769,安阳市,钢三路198号,,33,33,33,23,23,104,104,118,114,5,6,1,1,0.5,0.8
2026-07-16T2300,1748A,123.0441,41.1201,鞍山市,深沟寺,,25,25,42,16,27,57,57,94,71,10,12,7,10,0.6,1.3
2026-07-16T2300,1749A,123.011,41.0931,鞍山市,太阳城,,27,27,40,16,29,66,66,103,73,9,12,6,9,0.6,1.4
2026-07-16T2300,1750A,123.0483,41.1445,鞍山市,太平,,33,33,58,21,31,57,57,108,78,12,16,6,10,0.7,1.4
2026-07-16T2300,1751A,122.964,41.0968,鞍山市,铁西三道街,,47,47,60,26,33,50,50,114,83,29,17,6,10,1.1,1.3
2026-07-16T2300,1753A,123.0219,41.0822,鞍山市,明达新区,,20,19,38,14,26,58,58,105,80,12,11,4,7,0.6,1.2
2026-07-16T2300,4201A,122.944647,41.082639,鞍山市,兴盛南路290号,颗粒物(PM10),53,54,55,22,34,45,45,119,77,32,22,4,7,0.9,1.2
2026-07-16T2300,2195A,107.4206,40.7609,巴彦淖尔市,附二中,,27,27,27,17,15,70,70,134,117,24,8,12,12,0.7,0.6
2026-07-16T2300,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,,35,35,41,13,14,89,89,126,113,9,6,10,10,0.6,0.6
2026-07-16T2300,1956A,86.1476,41.7529,巴音郭楞蒙古自治州,孔雀公园,,37,16,39,3,13,118,118,124,124,7,7,5,5,0.2,0.2
2026-07-16T2300,1957A,86.1971,41.7166,巴音郭楞蒙古自治州,棉纺厂,,38,18,46,15,16,120,120,125,125,11,11,/,/,/,/
2026-07-16T2300,1958A,86.236,41.7172,巴音郭楞蒙古自治州,经济开发区,,40,10,28,3,11,126,126,130,130,5,6,2,3,0.1,0.1
2026-07-16T2300,3181A,106.776805,31.852614,巴中市,市五中,,30,28,27,21,21,73,73,109,89,11,12,9,9,0.6,0.5
2026-07-16T2300,3183A,106.7419,31.8654,巴中市,圣泉水务公司,,30,24,26,21,21,67,67,104,83,10,9,9,9,0.7,0.8
2026-07-16T2300,3616A,106.7617,31.8343,巴中市,市中心医院,,34,34,34,22,22,69,69,98,85,7,8,7,7,0.6,0.8
2026-07-16T2300,2235A,122.7909,45.608,白城市,洮北区环保局,,21,21,16,12,8,50,50,77,68,15,9,4,3,0.2,0.2
2026-07-16T2300,2236A,122.8741,45.5725,白城市,市环保局,,20,17,10,8,6,63,63,76,73,8,6,4,3,0.3,0.1
2026-07-16T2300,2231A,126.4219,41.9172,白山市,喜丰,颗粒物(PM10),53,54,36,22,12,16,16,102,60,22,10,12,11,0.6,0.6
2026-07-16T2300,2232A,126.4082,41.9416,白山市,环保局,,36,30,25,25,15,36,36,98,67,6,6,9,10,0.6,0.7
2026-07-16T2300,2647A,104.1727,36.5448,白银市,第三小学,,40,39,21,28,17,64,64,110,103,38,14,15,6,0.6,0.4
2026-07-16T2300,2648A,104.1467,36.5482,白银市,动力公司,,34,34,19,18,15,34,34,108,96,25,9,2,3,0.5,0.5
2026-07-16T2300,2512A,106.6102,23.901,百色市,市监测站,,34,34,21,21,12,21,21,83,70,18,9,10,9,0.5,0.4
2026-07-16T2300,2513A,106.6524,23.8842,百色市,市中心血站,,28,27,26,19,16,45,45,83,74,12,9,12,14,0.1,0.1
2026-07-16T2300,4133A,106.6273,23.8798,百色市,龙景西路,,35,35,33,17,15,26,26,88,74,18,8,15,14,0.4,0.3
2026-07-16T2300,2270A,117.396,32.9389,蚌埠市,工人疗养院,,26,26,28,15,12,45,45,105,69,25,12,5,5,0.2,0.2
2026-07-16T2300,2271A,117.3606,32.9428,蚌埠市,百货大楼,,24,24,21,3,11,61,61,115,81,17,13,9,10,0.6,0.6
2026-07-16T2300,2273A,117.4183,32.8909,蚌埠市,蚌埠学院,,30,27,20,21,12,38,38,96,48,14,12,5,5,0.4,0.4
2026-07-16T2300,2274A,117.3534,32.9672,蚌埠市,淮上区政府,,25,22,20,17,13,54,54,121,82,25,10,7,8,0.4,0.4
2026-07-16T2300,2275A,117.3143,32.8977,蚌埠市,高新区,,35,NA,20,24,11,41,41,93,61,21,11,9,10,0.4,0.3
2026-07-16T2300,3715A,117.3091,32.9314,蚌埠市,蚌埠田家炳中学,,30,30,28,20,13,51,51,104,74,20,10,7,10,0.6,0.5
2026-07-16T2300,1585A,109.8761,40.6533,包头市,市环境监测站,,36,NA,37,14,18,115,115,119,116,13,26,4,9,0.4,0.6
2026-07-16T2300,1587A,109.9992,40.5843,包头市,包头八中,,33,24,48,10,23,104,104,118,113,12,22,6,11,0.5,0.7
2026-07-16T2300,1589A,109.8641,40.6288,包头市,惠龙物流,,39,NA,38,16,22,124,124,124,121,7,22,2,8,0.4,0.6
2026-07-16T2300,1590A,110.0376,40.5546,包头市,东河鸿龙湾,,35,11,35,6,24,112,112,122,121,13,20,6,9,0.3,0.4
2026-07-16T2300,3283A,109.9154,40.5684,包头市,滨河大厦,,34,NA,38,16,25,106,106,115,112,13,22,5,10,0.5,0.6
2026-07-16T2300,3419A,109.9449,40.6259,包头市,包头市委党校,,34,19,35,12,23,108,108,119,111,12,25,7,13,0.4,0.6
2026-07-16T2300,3683A,109.8332,40.6577,包头市,昆区政府,,34,NA,34,12,22,108,108,124,115,14,29,2,11,0.6,0.8
2026-07-16T2300,1931A,107.0802,34.3129,宝鸡市,竹园沟,,20,6,23,3,18,64,64,113,56,6,8,7,7,0.7,0.8
2026-07-16T2300,1933A,107.1429,34.3549,宝鸡市,监测站,,16,14,29,3,18,49,49,110,61,7,10,7,8,0.4,0.5
2026-07-16T2300,1934A,107.1172,34.3759,宝鸡市,技工学校,,20,6,26,3,20,63,63,108,71,2,6,5,7,0.5,0.6
2026-07-16T2300,1936A,107.2025,34.3518,宝鸡市,文理学院,,19,8,41,3,19,59,59,114,52,8,21,8,8,0.5,0.6
