timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-06-28T0000,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,20,20,22,6,9,8,8,39,30,4,5,3,3,0.3,0.4
2026-06-28T0000,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,15,15,10,3,7,13,13,40,32,5,7,2,2,0.2,0.3
2026-06-28T0000,2695A,80.2899,41.1684,阿克苏地区,电视台,颗粒物(PM10),61,65,88,18,24,121,121,131,129,10,15,3,3,0.6,0.8
2026-06-28T0000,2696A,80.2592,41.1541,阿克苏地区,艺术中心,颗粒物(PM10),55,56,80,15,31,122,122,131,122,2,24,3,5,0.6,0.8
2026-06-28T0000,2205A,105.699,38.8409,阿拉善盟,蒙二幼,颗粒物(PM10),53,54,63,21,18,110,110,149,126,2,4,10,11,0.3,0.3
2026-06-28T0000,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,颗粒物(PM10),53,53,66,14,20,116,116,144,126,2,3,9,9,0.4,0.4
2026-06-28T0000,2708A,88.1266,47.8515,阿勒泰地区,市站,,31,24,15,3,2,99,99,120,112,7,8,7,7,0.3,0.2
2026-06-28T0000,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,30,22,14,8,2,96,96,111,108,7,5,6,6,0.4,0.4
2026-06-28T0000,2630A,80.1171,32.4999,阿里地区,阿里监测站,,42,13,10,8,3,132,132,142,136,8,4,5,4,0.3,0.3
2026-06-28T0000,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,45,6,8,3,3,144,144,144,144,2,2,6,6,0.5,0.5
2026-06-28T0000,2644A,109.0088,32.6974,安康市,汉滨区检察院,,28,28,27,11,12,19,19,84,50,8,7,2,2,0.5,0.4
2026-06-28T0000,4054A,109.0324,32.6913,安康市,市邮政管理局,,29,29,28,13,16,21,21,93,53,13,7,6,3,0.6,0.6
2026-06-28T0000,2291A,117.0806,30.5181,安庆市,环科院,细颗粒物(PM2.5),102,62,49,62,39,37,37,192,120,83,26,9,9,1.0,0.8
2026-06-28T0000,2292A,117.0331,30.5118,安庆市,马山宾馆,细颗粒物(PM2.5),104,NA,49,64,39,24,24,191,132,96,26,3,3,0.6,0.6
2026-06-28T0000,2294A,116.9897,30.6146,安庆市,安庆大学,细颗粒物(PM2.5),56,48,39,38,31,101,101,156,126,8,6,3,3,0.4,0.4
2026-06-28T0000,3173A,117.0598,30.5351,安庆市,市人大,细颗粒物(PM2.5),96,NA,44,58,36,40,40,186,140,77,13,4,6,0.7,0.6
2026-06-28T0000,3123A,105.9408,26.2431,安顺市,凤凰山,,34,34,20,18,13,64,64,111,81,8,9,14,9,0.4,0.4
2026-06-28T0000,3124A,105.9443,26.2567,安顺市,金钟山,,39,39,19,17,19,61,61,108,82,6,7,15,12,0.5,0.4
2026-06-28T0000,3125A,105.8983,26.248,安顺市,娄家坡,,25,22,16,17,14,59,59,105,79,8,7,16,11,0.7,0.7
2026-06-28T0000,1819A,114.3552,36.1017,安阳市,红庙街,,36,24,57,16,29,114,114,228,193,6,12,6,7,0.7,0.7
2026-06-28T0000,1820A,114.361,36.0681,安阳市,银杏小区,,36,31,57,23,34,115,115,232,198,7,11,6,4,0.6,0.6
2026-06-28T0000,3141A,114.3921,36.0879,安阳市,信访局,,41,NA,56,23,33,129,129,242,209,4,16,5,5,0.6,0.6
2026-06-28T0000,3669A,114.4706,36.0634,安阳市,左辅环卫站,,36,36,63,21,29,111,111,198,170,11,20,6,4,0.9,0.7
2026-06-28T0000,4117A,114.2918,36.0769,安阳市,钢三路198号,,41,41,63,19,30,104,104,221,182,13,12,5,6,0.8,0.6
2026-06-28T0000,1748A,123.0441,41.1201,鞍山市,深沟寺,,48,48,45,24,21,93,93,167,132,12,13,7,9,0.7,1
2026-06-28T0000,1749A,123.011,41.0931,鞍山市,太阳城,,43,43,36,18,19,102,102,164,136,9,21,8,11,0.8,1.2
2026-06-28T0000,1750A,123.0483,41.1445,鞍山市,太平,颗粒物(PM10),53,53,53,22,21,97,97,162,132,12,17,8,11,0.8,1.2
2026-06-28T0000,1751A,122.964,41.0968,鞍山市,铁西三道街,颗粒物(PM10),56,58,64,23,26,114,114,180,144,15,21,6,10,0.8,1.2
2026-06-28T0000,1753A,123.0219,41.0822,鞍山市,明达新区,,46,46,49,26,24,112,112,167,135,10,15,5,9,0.7,1.1
2026-06-28T0000,4201A,122.944647,41.082639,鞍山市,兴盛南路290号,颗粒物(PM10),57,59,67,29,33,81,81,172,128,34,23,6,10,0.6,1
