timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-05-30T1500,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,23,21,21,8,8,72,72,46,46,7,4,7,7,0.4,0.4
2026-05-30T1500,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,24,8,14,7,7,75,75,43,43,5,5,5,5,0.2,0.3
2026-05-30T1500,2695A,80.2899,41.1684,阿克苏地区,电视台,颗粒物(PM10),85,98,144,37,60,115,115,78,78,3,21,3,3,0.6,0.8
2026-05-30T1500,2696A,80.2592,41.1541,阿克苏地区,艺术中心,颗粒物(PM10),83,95,129,40,56,125,125,79,79,4,24,4,4,0.4,0.6
2026-05-30T1500,2205A,105.699,38.8409,阿拉善盟,蒙二幼,,50,25,23,3,5,160,160,155,155,8,3,8,9,0.2,0.2
2026-05-30T1500,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,,49,19,16,3,3,155,155,154,154,3,4,10,10,0.3,0.3
2026-05-30T1500,2708A,88.1266,47.8515,阿勒泰地区,市站,,33,12,19,3,6,105,105,88,88,6,6,6,6,0.1,0.2
2026-05-30T1500,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,33,7,14,3,3,105,105,86,86,3,4,4,4,0.2,0.2
2026-05-30T1500,2630A,80.1171,32.4999,阿里地区,阿里监测站,,47,7,12,3,3,150,150,122,122,2,7,7,7,0.4,0.4
2026-05-30T1500,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,47,6,8,3,4,149,149,117,117,2,4,6,6,0.4,0.4
2026-05-30T1500,2644A,109.0088,32.6974,安康市,汉滨区检察院,,30,19,21,10,8,94,94,57,57,6,7,8,6,0.5,0.4
2026-05-30T1500,4054A,109.0324,32.6913,安康市,市邮政管理局,,33,21,20,12,9,104,104,68,68,5,7,5,3,0.4,0.4
2026-05-30T1500,2291A,117.0806,30.5181,安庆市,环科院,臭氧1小时(O3_1h),92,53,58,34,37,193,193,140,140,12,12,9,9,0.6,0.6
2026-05-30T1500,2292A,117.0331,30.5118,安庆市,马山宾馆,臭氧1小时(O3_1h),88,56,59,37,36,190,190,146,146,13,12,10,9,0.5,0.4
2026-05-30T1500,2294A,116.9897,30.6146,安庆市,安庆大学,,50,41,56,26,35,160,160,133,133,8,8,4,4,0.5,0.5
2026-05-30T1500,3173A,117.0598,30.5351,安庆市,市人大,臭氧1小时(O3_1h),90,61,58,32,37,192,192,147,147,10,11,6,6,0.6,0.6
2026-05-30T1500,3123A,105.9408,26.2431,安顺市,凤凰山,,42,26,30,16,20,133,133,115,115,7,7,9,9,0.6,0.6
2026-05-30T1500,3124A,105.9443,26.2567,安顺市,金钟山,,42,22,28,17,19,134,134,116,116,5,7,10,8,0.5,0.5
2026-05-30T1500,3125A,105.8983,26.248,安顺市,娄家坡,,45,25,23,17,19,142,142,121,121,6,8,8,8,0.5,0.6
2026-05-30T1500,1819A,114.3552,36.1017,安阳市,红庙街,,50,25,56,8,21,160,160,144,144,1,10,4,6,0.2,0.4
2026-05-30T1500,1820A,114.361,36.0681,安阳市,银杏小区,臭氧1小时(O3_1h),63,24,54,10,24,170,170,143,143,3,13,3,11,0.2,0.4
2026-05-30T1500,3141A,114.3921,36.0879,安阳市,信访局,臭氧1小时(O3_1h),65,22,50,17,23,172,172,144,144,2,13,2,6,0.2,0.4
2026-05-30T1500,3669A,114.4706,36.0634,安阳市,左辅环卫站,臭氧1小时(O3_1h),58,25,62,11,24,166,166,131,131,4,18,3,4,0.4,0.5
2026-05-30T1500,4117A,114.2918,36.0769,安阳市,钢三路198号,,47,18,22,3,11,150,150,NA,NA,2,4,3,4,0.3,0.3
2026-05-30T1500,1748A,123.0441,41.1201,鞍山市,深沟寺,臭氧1小时(O3_1h),67,31,33,9,11,173,173,145,145,12,17,13,14,0.6,0.8
2026-05-30T1500,1749A,123.011,41.0931,鞍山市,太阳城,臭氧1小时(O3_1h),69,25,34,10,14,175,175,149,149,13,17,12,13,0.7,0.9
