timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-05-23T0900,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,NA,NA,20,22,13,11,NA,NA,50,45,3,6,7,7,0.3,0.3
2026-05-23T0900,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,15,NA,20,10,12,35,35,52,46,5,6,5,5,0.3,0.2
2026-05-23T0900,2695A,80.2899,41.1684,阿克苏地区,电视台,颗粒物(PM10),139,219,408,71,154,53,53,66,66,17,18,3,4,0.8,0.8
2026-05-23T0900,2696A,80.2592,41.1541,阿克苏地区,艺术中心,颗粒物(PM10),109,143,331,68,199,51,51,71,71,31,26,3,4,0.5,0.6
2026-05-23T0900,2205A,105.699,38.8409,阿拉善盟,蒙二幼,颗粒物(PM10),66,72,76,21,19,119,119,106,106,12,15,8,8,0.3,0.3
2026-05-23T0900,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,颗粒物(PM10),68,74,70,16,19,122,122,114,114,3,3,10,9,0.4,0.3
2026-05-23T0900,2708A,88.1266,47.8515,阿勒泰地区,市站,,22,15,34,3,4,68,68,82,80,5,6,8,6,0.1,0.1
2026-05-23T0900,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,32,32,46,3,8,67,67,79,78,4,4,6,5,0.1,0.1
2026-05-23T0900,2630A,80.1171,32.4999,阿里地区,阿里监测站,,36,36,26,8,10,104,104,113,111,16,3,9,7,0.3,0.3
2026-05-23T0900,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,37,23,25,3,5,118,118,116,116,2,2,4,5,0.2,0.2
2026-05-23T0900,2644A,109.0088,32.6974,安康市,汉滨区检察院,,36,36,30,25,16,11,11,5,5,9,8,6,5,0.6,0.6
2026-05-23T0900,4054A,109.0324,32.6913,安康市,市邮政管理局,,35,35,35,21,23,15,15,8,8,11,9,18,11,0.6,0.5
2026-05-23T0900,2291A,117.0806,30.5181,安庆市,环科院,,24,24,21,10,6,12,12,9,8,33,25,7,7,0.5,0.6
2026-05-23T0900,2292A,117.0331,30.5118,安庆市,马山宾馆,,12,12,20,7,9,16,16,9,9,18,19,6,5,0.6,0.7
2026-05-23T0900,2294A,116.9897,30.6146,安庆市,安庆大学,,19,17,22,13,10,35,35,21,21,5,15,5,5,0.7,0.6
2026-05-23T0900,3173A,117.0598,30.5351,安庆市,市人大,,12,12,20,8,6,30,30,23,23,12,13,9,7,0.5,0.6
2026-05-23T0900,3123A,105.9408,26.2431,安顺市,凤凰山,,23,20,19,16,17,64,64,59,59,4,5,6,5,0.5,0.5
2026-05-23T0900,3124A,105.9443,26.2567,安顺市,金钟山,,29,20,22,20,17,60,60,55,55,4,4,6,6,0.5,0.5
2026-05-23T0900,3125A,105.8983,26.248,安顺市,娄家坡,,25,21,19,17,16,59,59,58,58,4,3,6,6,0.8,0.6
2026-05-23T0900,1819A,114.3552,36.1017,安阳市,红庙街,,28,28,27,17,19,64,64,41,41,18,17,8,4,0.6,0.5
2026-05-23T0900,1820A,114.361,36.0681,安阳市,银杏小区,,44,44,34,12,23,59,59,38,38,16,14,6,3,0.4,0.4
2026-05-23T0900,3141A,114.3921,36.0879,安阳市,信访局,,33,27,27,23,21,58,58,53,53,23,14,4,3,0.4,0.3
2026-05-23T0900,3669A,114.4706,36.0634,安阳市,左辅环卫站,颗粒物(PM10),53,54,39,18,22,55,55,28,28,10,16,1,2,0.4,0.4
