timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-06-25T2000,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,21,21,24,8,9,36,36,59,59,6,6,3,3,0.4,0.3
2026-06-25T2000,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,31,31,19,8,6,47,47,64,64,7,6,2,2,0.4,0.3
2026-06-25T2000,2695A,80.2899,41.1684,阿克苏地区,电视台,细颗粒物(PM2.5),108,104,79,68,38,109,109,112,112,6,6,3,3,0.6,0.6
2026-06-25T2000,2696A,80.2592,41.1541,阿克苏地区,艺术中心,NA,NA,NA,62,NA,31,118,118,120,120,8,10,4,4,0.7,0.6
2026-06-25T2000,2205A,105.699,38.8409,阿拉善盟,蒙二幼,颗粒物(PM10),122,175,105,62,39,116,116,122,120,6,6,10,11,0.4,0.4
2026-06-25T2000,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,颗粒物(PM10),96,114,76,54,30,113,113,118,114,5,5,9,9,0.5,0.5
2026-06-25T2000,2708A,88.1266,47.8515,阿勒泰地区,市站,,32,20,28,8,11,101,101,98,98,10,10,7,7,0.4,0.3
2026-06-25T2000,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,31,26,28,10,10,99,99,90,90,6,6,6,6,0.3,0.3
2026-06-25T2000,2630A,80.1171,32.4999,阿里地区,阿里监测站,,48,11,8,3,3,151,151,150,150,7,4,5,5,0.3,0.3
2026-06-25T2000,3192A,80.0906,32.5029,阿里地区,阿里藏医院,NA,NA,8,7,3,3,151,151,148,148,1,2,NA,6,0.3,0.3
2026-06-25T2000,2644A,109.0088,32.6974,安康市,汉滨区检察院,,30,30,31,12,12,35,35,69,68,14,8,1,10,0.5,0.5
