timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-06-25T1100,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,23,23,22,11,9,25,25,42,27,12,6,3,3,0.4,0.3
2026-06-25T1100,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,10,NA,13,6,7,32,32,45,33,8,6,2,2,0.3,0.3
2026-06-25T1100,2695A,80.2899,41.1684,阿克苏地区,电视台,,46,44,136,32,44,82,82,99,86,8,6,3,3,0.6,0.6
2026-06-25T1100,2696A,80.2592,41.1541,阿克苏地区,艺术中心,,30,27,107,21,46,94,94,108,100,14,9,4,4,0.6,0.6
2026-06-25T1100,2205A,105.699,38.8409,阿拉善盟,蒙二幼,NA,NA,50,81,16,28,114,114,122,110,NA,6,10,12,0.4,0.4
2026-06-25T1100,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,,37,30,54,12,21,116,116,118,110,4,5,8,10,0.5,0.5
2026-06-25T1100,2708A,88.1266,47.8515,阿勒泰地区,市站,,29,24,28,3,12,90,90,82,82,11,10,7,7,0.3,0.2
2026-06-25T1100,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,NA,NA,28,26,3,9,87,87,80,78,8,5,NA,6,NA,0.3
2026-06-25T1100,2630A,80.1171,32.4999,阿里地区,阿里监测站,NA,NA,11,8,3,2,124,124,129,128,15,3,NA,4,0.3,0.3
2026-06-25T1100,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,41,NA,8,13,3,129,129,128,128,5,2,6,6,0.4,0.3
2026-06-25T1100,2644A,109.0088,32.6974,安康市,汉滨区检察院,,45,45,28,22,12,29,29,14,14,8,10,15,11,0.6,0.5
2026-06-25T1100,4054A,109.0324,32.6913,安康市,市邮政管理局,,41,41,27,26,14,41,41,15,15,6,10,3,4,0.7,0.6
2026-06-25T1100,2291A,117.0806,30.5181,安庆市,环科院,,35,34,22,24,16,77,77,56,56,3,4,9,8,0.7,0.7
2026-06-25T1100,2292A,117.0331,30.5118,安庆市,马山宾馆,,39,28,18,27,17,74,74,56,56,8,7,2,2,0.6,0.6
2026-06-25T1100,2294A,116.9897,30.6146,安庆市,安庆大学,,28,26,20,19,15,71,71,56,56,4,4,3,3,0.4,0.4
2026-06-25T1100,3173A,117.0598,30.5351,安庆市,市人大,,32,31,22,22,15,75,75,56,56,8,9,5,5,0.6,0.5
2026-06-25T1100,3123A,105.9408,26.2431,安顺市,凤凰山,颗粒物(PM10),61,65,22,36,16,16,16,24,21,10,9,15,9,0.5,0.5
2026-06-25T1100,3124A,105.9443,26.2567,安顺市,金钟山,,50,48,19,35,15,16,16,23,21,7,6,8,10,0.6,0.6
2026-06-25T1100,3125A,105.8983,26.248,安顺市,娄家坡,NA,NA,NA,16,NA,13,16,16,23,21,NA,6,NA,8,0.7,0.6
2026-06-25T1100,1819A,114.3552,36.1017,安阳市,红庙街,臭氧1小时(O3_1h),79,86,37,47,19,183,183,109,109,6,7,5,5,0.7,0.5
2026-06-25T1100,1820A,114.361,36.0681,安阳市,银杏小区,颗粒物(PM10),111,148,37,52,21,185,185,110,110,8,7,4,4,0.7,0.5
2026-06-25T1100,3141A,114.3921,36.0879,安阳市,信访局,颗粒物(PM10),144,233,52,46,22,190,190,111,111,7,8,3,3,0.7,0.5
2026-06-25T1100,3669A,114.4706,36.0634,安阳市,左辅环卫站,颗粒物(PM10),98,117,42,46,20,161,161,90,90,13,12,4,3,0.7,0.4
2026-06-25T1100,4117A,114.2918,36.0769,安阳市,钢三路198号,细颗粒物(PM2.5),78,87,37,49,21,173,173,100,100,11,9,4,5,0.7,0.5
2026-06-25T1100,1748A,123.0441,41.1201,鞍山市,深沟寺,NA,NA,54,53,28,27,79,79,46,46,13,15,7,8,NA,0.9
2026-06-25T1100,1749A,123.011,41.0931,鞍山市,太阳城,细颗粒物(PM2.5),62,42,50,41,35,81,81,50,50,12,18,7,9,0.9,1.3
2026-06-25T1100,1750A,123.0483,41.1445,鞍山市,太平,颗粒物(PM10),61,65,64,33,29,78,78,48,48,15,21,8,9,0.9,1.4
2026-06-25T1100,1751A,122.964,41.0968,鞍山市,铁西三道街,颗粒物(PM10),58,60,69,32,30,95,95,52,52,16,26,8,11,0.9,1.5
2026-06-25T1100,1753A,123.0219,41.0822,鞍山市,明达新区,,45,45,51,30,30,92,92,60,60,12,16,6,6,0.7,1.1
2026-06-25T1100,4201A,122.944647,41.082639,鞍山市,兴盛南路290号,细颗粒物(PM2.5),76,65,67,48,37,84,84,48,48,24,28,13,10,1.3,1.5
2026-06-25T1100,2195A,107.4206,40.7609,巴彦淖尔市,附二中,,32,32,41,6,13,97,97,65,63,8,11,17,12,0.6,0.5
2026-06-25T1100,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,,32,29,28,3,6,102,102,74,74,6,8,10,11,0.6,0.5
2026-06-25T1100,1956A,86.1476,41.7529,巴音郭楞蒙古自治州,孔雀公园,NA,NA,NA,134,39,38,84,84,53,44,11,13,4,4,0.2,0.2
