timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2025-04-30T1100,2566A,102.1879,31.914,阿坝藏族羌族自治州,州农科所,,31,31,25,9,9,78,,40,40,4,6,10,10,0.5,0.5
2025-04-30T1100,2568A,102.2502,31.8896,阿坝藏族羌族自治州,马师校,,26,11,21,8,13,81,,26,26,7,11,5,5,0.5,0.5
2025-04-30T1100,3994A,102.2165,31.9024,阿坝藏族羌族自治州,马尔康中学西区,,,26,24,,14,88,,33,33,3,8,,4,0.2,0.3
2025-04-30T1100,2695A,80.292,41.1694,阿克苏地区,电视台,颗粒物(PM10),93,136,160,37,45,58,,57,48,18,17,8,8,0.8,0.8
2025-04-30T1100,2696A,80.2613,41.1551,阿克苏地区,艺术中心,颗粒物(PM10),98,146,182,39,50,51,,26,26,16,30,4,4,0.5,0.6
2025-04-30T1100,2204A,105.6467,38.8363,阿拉善盟,西城区西花园,颗粒物(PM10),500,716,325,85,95,114,,118,116,,7,6,6,0.6,0.6
2025-04-30T1100,2205A,105.6985,38.8411,阿拉善盟,蒙二幼,颗粒物(PM10),500,800,437,97,119,97,,101,99,5,6,7,7,0.6,0.6
2025-04-30T1100,2206A,105.724,38.8516,阿拉善盟,环保局新楼,颗粒物(PM10),302,421,396,108,129,100,,106,103,3,3,8,7,0.4,0.4
2025-04-30T1100,2708A,88.1264,47.8517,阿勒泰地区,市站,,,34,32,6,6,,,82,75,27,6,,3,0.5,0.5
2025-04-30T1100,2630A,80.1161,32.5,阿里地区,阿里监测站,,27,27,17,9,8,72,,79,75,16,10,12,8,0.4,0.4
2025-04-30T1100,3192A,80.0903,32.5028,阿里地区,阿里藏医院,,35,35,23,8,8,75,,80,76,14,6,17,8,0.4,0.4
2025-04-30T1100,2642A,109.0318,32.6537,安康市,香溪洞,,42,42,40,24,24,92,,48,48,8,12,10,14,0.6,0.6
2025-04-30T1100,2644A,109.0072,32.6975,安康市,汉滨区检察院,,43,43,50,26,23,78,,33,33,14,16,17,18,0.5,0.5
2025-04-30T1100,4054A,109.0325,32.6913,安康市,市邮政管理局,,45,45,62,21,24,90,,34,34,11,19,11,22,0.4,0.5
2025-04-30T1100,2291A,117.0809,30.5177,安庆市,环科院,颗粒物(PM10),62,73,54,39,27,130,,97,97,14,31,4,3,0.8,0.7
2025-04-30T1100,2292A,117.0331,30.5119,安庆市,马山宾馆,细颗粒物(PM2.5),67,62,52,48,28,129,,72,72,20,38,8,5,0.8,0.5
2025-04-30T1100,2294A,116.9896,30.6145,安庆市,安庆大学,颗粒物(PM10),58,66,57,32,33,128,,78,78,14,28,9,8,0.6,0.5
2025-04-30T1100,3173A,117.0598,30.5351,安庆市,市人大,颗粒物(PM10),58,65,54,38,25,143,,98,98,14,23,9,8,0.6,0.5
2025-04-30T1100,3122A,105.9606,26.2611,安顺市,伍家关,,,,23,,12,,,83,79,,7,,4,,0.4
2025-04-30T1100,3123A,105.9408,26.2431,安顺市,凤凰山,,,11,21,7,12,83,,84,79,10,7,,6,0.4,0.5
2025-04-30T1100,3124A,105.9439,26.2564,安顺市,金钟山,,27,12,21,7,12,85,,81,79,8,7,4,5,0.4,0.5
2025-04-30T1100,3125A,105.8983,26.2481,安顺市,娄家坡,,26,13,20,7,13,83,,82,77,10,8,5,6,0.3,0.4
2025-04-30T1100,1818A,114.4839,36.0621,安阳市,棉研所,,,,,,,,,,,,,,,,
2025-04-30T1100,1819A,114.3551,36.1017,安阳市,红庙街,颗粒物(PM10),96,142,85,41,22,102,,42,42,22,20,12,9,0.9,0.5
2025-04-30T1100,1820A,114.361,36.0681,安阳市,银杏小区,颗粒物(PM10),91,132,88,39,28,62,,37,29,50,36,9,12,0.6,0.4
2025-04-30T1100,3141A,114.3922,36.0878,安阳市,信访局,,,,90,18,27,,,30,9,48,30,7,8,0.6,0.3
2025-04-30T1100,3669A,114.4705,36.0637,安阳市,左辅环卫站,颗粒物(PM10),77,104,83,23,26,70,,38,38,21,25,7,7,0.6,0.5
2025-04-30T1100,3703A,114.2917,36.0949,安阳市,安钢职工学校,颗粒物(PM10),108,166,90,43,24,105,,60,60,24,20,4,6,0.7,0.5
2025-04-30T1100,1748A,123.044,41.1196,鞍山市,深沟寺,颗粒物(PM10),52,53,64,32,35,118,,119,117,12,11,6,6,0.6,0.5
2025-04-30T1100,1749A,123.011,41.0931,鞍山市,太阳城,颗粒物(PM10),56,62,68,36,35,112,,99,97,10,10,6,7,0.8,0.7
2025-04-30T1100,1750A,123.0485,41.1442,鞍山市,太平,颗粒物(PM10),62,74,81,35,31,105,,105,102,14,12,8,9,0.7,0.6
2025-04-30T1100,1751A,122.9642,41.0971,鞍山市,铁西三道街,,,80,82,38,35,117,,114,105,19,16,4,5,,0.5
2025-04-30T1100,1753A,123.022,41.0821,鞍山市,明达新区,颗粒物(PM10),54,57,64,23,21,123,,115,113,9,9,7,7,0.3,0.3
2025-04-30T1100,1754A,123.1289,41.0228,鞍山市,千山,,,,42,,19,,,136,,,10,,5,,0.5
2025-04-30T1100,4201A,122.9446,41.0826,鞍山市,兴盛南路290号,颗粒物(PM10),60,69,93,36,38,121,,105,103,14,18,8,8,0.6,0.6
2025-04-30T1100,2195A,107.4212,40.761,巴彦淖尔市,附二中,颗粒物(PM10),57,64,159,20,48,85,,86,86,3,11,5,5,0.6,0.5
