timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-06-17T2100,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,22,22,20,7,7,64,64,74,72,5,5,2,3,0.3,0.3
2026-06-17T2100,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,18,15,22,10,7,56,56,78,76,7,5,2,2,0.4,0.3
2026-06-17T2100,2695A,80.2899,41.1684,阿克苏地区,电视台,颗粒物(PM10),64,69,47,37,24,133,133,135,135,8,7,3,3,0.5,0.6
2026-06-17T2100,2696A,80.2592,41.1541,阿克苏地区,艺术中心,,45,45,53,24,18,136,136,143,143,10,11,4,4,0.8,0.7
2026-06-17T2100,2205A,105.699,38.8409,阿拉善盟,蒙二幼,,42,42,35,14,10,127,127,141,140,6,7,9,10,0.4,0.5
2026-06-17T2100,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,,42,42,33,15,9,121,121,134,133,5,5,11,12,0.4,0.4
2026-06-17T2100,2708A,88.1266,47.8515,阿勒泰地区,市站,,37,29,23,3,3,117,117,120,120,9,9,7,7,0.1,0.1
2026-06-17T2100,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,35,35,24,12,6,109,109,115,115,5,6,6,6,0.3,0.3
2026-06-17T2100,2630A,80.1171,32.4999,阿里地区,阿里监测站,臭氧1小时(O3_1h),52,11,9,3,2,161,161,155,155,2,3,2,2,0.3,0.3
2026-06-17T2100,3192A,80.0906,32.5029,阿里地区,阿里藏医院,臭氧1小时(O3_1h),54,NA,8,12,3,163,163,156,156,1,2,5,5,0.2,0.3
2026-06-17T2100,2644A,109.0088,32.6974,安康市,汉滨区检察院,,23,13,34,6,19,71,71,63,63,6,11,4,5,0.4,0.5
2026-06-17T2100,4054A,109.0324,32.6913,安康市,市邮政管理局,,25,10,33,6,21,80,80,72,72,4,12,3,6,0.4,0.6
2026-06-17T2100,2291A,117.0806,30.5181,安庆市,环科院,,46,41,28,18,17,147,147,157,152,12,11,9,10,0.7,0.7
2026-06-17T2100,2292A,117.0331,30.5118,安庆市,马山宾馆,,44,33,26,18,18,139,139,158,149,16,12,10,10,0.8,0.8
2026-06-17T2100,2294A,116.9897,30.6146,安庆市,安庆大学,,41,35,29,26,18,131,131,181,172,12,9,4,5,0.4,0.4
2026-06-17T2100,3173A,117.0598,30.5351,安庆市,市人大,,42,40,27,27,18,132,132,173,164,24,12,6,6,0.6,0.5
2026-06-17T2100,3123A,105.9408,26.2431,安顺市,凤凰山,,18,14,18,12,15,38,38,57,41,6,6,8,8,0.5,0.5
2026-06-17T2100,3124A,105.9443,26.2567,安顺市,金钟山,,26,NA,8,18,16,40,40,60,44,4,3,12,8,0.4,0.4
2026-06-17T2100,3125A,105.8983,26.248,安顺市,娄家坡,,32,NA,18,22,15,39,39,59,42,5,4,6,6,0.5,0.4
2026-06-17T2100,1819A,114.3552,36.1017,安阳市,红庙街,臭氧1小时(O3_1h),53,45,39,27,23,162,162,191,189,14,9,2,5,0.3,0.4
2026-06-17T2100,1820A,114.361,36.0681,安阳市,银杏小区,臭氧1小时(O3_1h),57,41,33,36,25,165,165,196,193,9,7,2,4,0.2,0.2
2026-06-17T2100,3141A,114.3921,36.0879,安阳市,信访局,臭氧1小时(O3_1h),74,38,41,24,25,179,179,202,201,10,9,1,2,0.2,0.3
2026-06-17T2100,3669A,114.4706,36.0634,安阳市,左辅环卫站,,50,50,46,21,23,141,141,181,178,22,17,1,3,0.4,0.5
