timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-06-17T0000,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,23,23,19,8,10,12,12,64,43,5,5,3,3,0.3,0.3
2026-06-17T0000,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,13,13,10,9,9,17,17,64,44,5,6,2,2,0.4,0.3
2026-06-17T0000,2695A,80.2899,41.1684,阿克苏地区,电视台,颗粒物(PM10),144,232,60,57,36,103,103,138,124,16,7,3,3,0.7,0.6
2026-06-17T0000,2696A,80.2592,41.1541,阿克苏地区,艺术中心,颗粒物(PM10),156,261,71,76,23,86,86,148,130,36,10,3,4,0.9,0.7
2026-06-17T0000,2205A,105.699,38.8409,阿拉善盟,蒙二幼,,38,27,38,10,14,119,119,148,139,7,5,9,10,0.5,0.4
2026-06-17T0000,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,,41,31,36,9,11,129,129,141,138,5,5,11,12,0.4,0.4
2026-06-17T0000,2708A,88.1266,47.8515,阿勒泰地区,市站,,28,28,27,7,3,86,86,109,102,6,9,7,7,0.1,0.1
2026-06-17T0000,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,,28,24,30,19,6,84,84,104,101,10,8,6,6,0.3,0.3
2026-06-17T0000,2630A,80.1171,32.4999,阿里地区,阿里监测站,,38,9,9,3,2,119,119,124,122,3,4,2,2,0.3,0.3
2026-06-17T0000,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,39,9,8,3,2,123,123,125,125,1,2,5,5,0.3,0.3
2026-06-17T0000,2644A,109.0088,32.6974,安康市,汉滨区检察院,,34,34,28,21,16,45,45,104,75,12,8,5,6,0.5,0.5
2026-06-17T0000,4054A,109.0324,32.6913,安康市,市邮政管理局,,39,39,28,24,20,44,44,107,76,12,8,8,5,0.5,0.5
2026-06-17T0000,2291A,117.0806,30.5181,安庆市,环科院,,24,24,23,9,15,70,70,134,107,14,6,9,8,0.6,0.6
2026-06-17T0000,2292A,117.0331,30.5118,安庆市,马山宾馆,,24,20,22,11,17,75,75,130,107,12,8,10,10,0.7,0.8
2026-06-17T0000,2294A,116.9897,30.6146,安庆市,安庆大学,,20,20,21,11,15,63,63,115,97,11,5,4,4,0.3,0.4
2026-06-17T0000,3173A,117.0598,30.5351,安庆市,市人大,,24,20,21,11,16,74,74,132,107,14,10,5,5,0.4,0.5
2026-06-17T0000,3123A,105.9408,26.2431,安顺市,凤凰山,,29,22,22,20,19,56,56,56,53,6,6,16,9,0.4,0.4
2026-06-17T0000,3124A,105.9443,26.2567,安顺市,金钟山,,23,19,21,16,20,60,60,57,55,4,4,12,8,0.4,0.5
2026-06-17T0000,3125A,105.8983,26.248,安顺市,娄家坡,NA,NA,NA,20,NA,17,NA,NA,56,54,NA,4,NA,7,NA,0.4
2026-06-17T0000,1819A,114.3552,36.1017,安阳市,红庙街,,44,44,41,25,22,124,124,181,163,11,7,3,4,0.4,0.4
2026-06-17T0000,1820A,114.361,36.0681,安阳市,银杏小区,,43,NA,41,30,25,130,130,183,171,8,10,11,5,0.3,0.1
2026-06-17T0000,3141A,114.3921,36.0879,安阳市,信访局,,44,32,38,17,24,139,139,191,174,12,9,3,2,0.5,0.3
2026-06-17T0000,3669A,114.4706,36.0634,安阳市,左辅环卫站,,44,44,45,23,22,88,88,174,144,25,14,3,2,0.4,0.4
2026-06-17T0000,4117A,114.2918,36.0769,安阳市,钢三路198号,,42,42,42,25,23,121,121,174,155,13,9,5,4,0.5,0.5
2026-06-17T0000,1748A,123.0441,41.1201,鞍山市,深沟寺,,42,41,33,29,20,67,67,94,67,8,9,5,5,0.5,0.7
2026-06-17T0000,1749A,123.011,41.0931,鞍山市,太阳城,,40,NA,28,28,24,79,79,99,73,5,10,7,8,0.6,0.9
2026-06-17T0000,1750A,123.0483,41.1445,鞍山市,太平,,49,49,37,27,20,67,67,99,73,14,12,4,5,0.6,0.9
2026-06-17T0000,1751A,122.964,41.0968,鞍山市,铁西三道街,,32,32,39,21,23,79,79,106,82,9,17,5,7,0.7,0.9
2026-06-17T0000,1753A,123.0219,41.0822,鞍山市,明达新区,,38,38,32,26,21,74,74,99,80,7,10,6,6,0.6,0.6
2026-06-17T0000,4201A,122.944647,41.082639,鞍山市,兴盛南路290号,,36,29,35,25,26,78,78,100,77,6,13,7,8,0.4,0.9
2026-06-17T0000,2195A,107.4206,40.7609,巴彦淖尔市,附二中,,31,31,51,14,13,84,84,141,121,7,7,10,12,0.5,0.5
2026-06-17T0000,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,,32,32,48,6,10,96,96,146,127,7,7,8,10,0.5,0.5
2026-06-17T0000,1956A,86.1476,41.7529,巴音郭楞蒙古自治州,孔雀公园,颗粒物(PM10),132,203,196,76,72,16,16,99,68,73,21,5,6,0.6,0.3
2026-06-17T0000,1957A,86.1971,41.7166,巴音郭楞蒙古自治州,棉纺厂,颗粒物(PM10),139,221,219,26,73,79,79,113,93,24,17,/,/,/,/
2026-06-17T0000,1958A,86.236,41.7172,巴音郭楞蒙古自治州,经济开发区,颗粒物(PM10),61,65,161,26,71,85,85,103,84,10,8,5,3,0.3,0.2
2026-06-17T0000,3181A,106.776805,31.852614,巴中市,市五中,,39,36,41,27,35,41,41,69,56,17,16,8,8,0.8,0.9
2026-06-17T0000,3183A,106.7419,31.8654,巴中市,圣泉水务公司,,48,40,37,33,31,20,20,68,48,32,15,8,8,0.8,0.8
2026-06-17T0000,3616A,106.7617,31.8343,巴中市,市中心医院,细颗粒物(PM2.5),54,45,42,37,36,24,24,74,55,23,18,7,7,0.7,0.8
2026-06-17T0000,2235A,122.7909,45.608,白城市,洮北区环保局,,38,NA,18,26,20,93,93,104,99,7,6,5,5,0.4,0.4
2026-06-17T0000,2236A,122.8741,45.5725,白城市,市环保局,NA,NA,NA,10,19,12,70,70,95,88,20,8,5,4,NA,0.2
2026-06-17T0000,2231A,126.4219,41.9172,白山市,喜丰,颗粒物(PM10),67,73,45,22,23,27,27,92,68,20,20,8,9,0.6,0.6
2026-06-17T0000,2232A,126.4082,41.9416,白山市,环保局,,29,29,29,17,22,33,33,91,62,4,10,11,11,0.5,0.6
2026-06-17T0000,2647A,104.1727,36.5448,白银市,第三小学,,46,46,46,23,22,79,79,135,112,24,11,14,20,0.4,0.5
2026-06-17T0000,2648A,104.1467,36.5482,白银市,动力公司,颗粒物(PM10),53,53,41,20,22,104,104,140,121,17,13,11,12,0.4,0.5
2026-06-17T0000,2512A,106.6102,23.901,百色市,市监测站,,30,30,30,14,9,18,18,75,50,15,11,8,8,0.5,0.5
2026-06-17T0000,2513A,106.6524,23.8842,百色市,市中心血站,,30,30,28,9,14,34,34,73,50,10,11,9,11,0.1,0.2
2026-06-17T0000,4133A,106.6273,23.8798,百色市,龙景西路,,19,19,31,12,14,37,37,82,59,15,13,12,10,0.6,0.6
2026-06-17T0000,2270A,117.396,32.9389,蚌埠市,工人疗养院,,33,33,25,15,14,61,61,98,92,34,13,9,4,0.4,0.4
2026-06-17T0000,2271A,117.3606,32.9428,蚌埠市,百货大楼,,21,21,18,14,14,64,64,97,90,28,13,8,7,0.5,0.4
2026-06-17T0000,2273A,117.4183,32.8909,蚌埠市,蚌埠学院,,27,27,16,18,12,73,73,90,86,8,7,5,5,0.4,0.3
2026-06-17T0000,2274A,117.3534,32.9672,蚌埠市,淮上区政府,,24,22,22,12,13,76,76,104,100,20,9,5,5,0.3,0.2
2026-06-17T0000,2275A,117.3143,32.8977,蚌埠市,高新区,,25,24,19,15,12,79,79,95,86,12,13,7,8,0.3,0.3
2026-06-17T0000,3715A,117.3091,32.9314,蚌埠市,蚌埠田家炳中学,,26,26,23,12,13,81,81,97,94,7,10,5,6,0.4,0.4
2026-06-17T0000,1585A,109.8761,40.6533,包头市,市环境监测站,,33,19,34,10,17,103,103,176,119,8,15,5,11,0.2,0.5
2026-06-17T0000,1587A,109.9992,40.5843,包头市,包头八中,,34,34,43,14,18,88,88,159,115,12,13,12,12,0.4,0.4
2026-06-17T0000,1589A,109.8641,40.6288,包头市,惠龙物流,,30,12,37,10,19,96,96,166,117,10,16,6,13,0.1,0.4
2026-06-17T0000,1590A,110.0376,40.5546,包头市,东河鸿龙湾,,43,43,37,15,20,90,90,160,118,15,11,13,9,0.5,0.6
2026-06-17T0000,3283A,109.9154,40.5684,包头市,滨河大厦,,28,14,32,13,17,87,87,150,113,11,16,12,11,0.4,0.5
2026-06-17T0000,3419A,109.9449,40.6259,包头市,包头市委党校,,27,9,30,7,19,86,86,163,113,14,16,7,12,0.6,0.8
2026-06-17T0000,3683A,109.8332,40.6577,包头市,昆区政府,,30,13,36,3,18,94,94,158,109,11,16,4,11,0.3,0.6
2026-06-17T0000,1931A,107.0802,34.3129,宝鸡市,竹园沟,NA,NA,NA,30,NA,19,64,64,144,105,9,5,6,7,0.6,0.7
2026-06-17T0000,1933A,107.1429,34.3549,宝鸡市,监测站,,32,28,37,22,23,58,58,159,101,13,10,5,6,0.4,0.4
2026-06-17T0000,1934A,107.1172,34.3759,宝鸡市,技工学校,,42,NA,41,29,26,84,84,165,121,9,8,6,7,0.7,0.6
2026-06-17T0000,1936A,107.2025,34.3518,宝鸡市,文理学院,,35,NA,47,24,24,67,67,166,122,18,13,7,8,0.2,0.3
2026-06-17T0000,1937A,107.2396,34.3626,宝鸡市,三迪小学,,33,29,44,23,28,58,58,173,123,17,14,7,8,0.5,0.5
2026-06-17T0000,4155A,107.1721,34.3558,宝鸡市,滨河北路,,48,48,44,27,26,66,66,151,100,11,14,6,7,0.7,0.7
2026-06-17T0000,4308A,107.3898,34.3601,宝鸡市,陈仓区北开路21号,,44,44,55,27,32,73,73,163,123,19,17,9,19,0.4,0.5
2026-06-17T0000,1051A,115.4803,38.8568,保定市,游泳馆,,45,31,32,20,23,142,142,192,149,3,6,2,3,0.1,0.2
