timepoint,stationcode,longitude,latitude,area,positionname,primarypollutant,aqi,pm10,pm10_24h,pm2_5,pm2_5_24h,o3,o3_24h,o3_8h,o3_8h_24h,no2,no2_24h,so2,so2_24h,co,co_24h
2026-07-05T2100,2568A,102.2503,31.8896,阿坝藏族羌族自治州,马师校,,47,47,24,7,8,69,69,123,114,9,6,3,3,0.3,0.2
2026-07-05T2100,3994A,102.2174,31.9016,阿坝藏族羌族自治州,马尔康中学西区,,22,22,10,10,8,70,70,116,111,10,6,2,2,0.3,0.1
2026-07-05T2100,2695A,80.2899,41.1684,阿克苏地区,电视台,臭氧1小时(O3_1h),73,39,98,25,33,178,178,167,167,8,5,6,4,0.2,0.2
2026-07-05T2100,2696A,80.2592,41.1541,阿克苏地区,艺术中心,臭氧1小时(O3_1h),69,34,78,18,34,175,175,170,170,13,10,4,4,0.2,0.2
2026-07-05T2100,2205A,105.699,38.8409,阿拉善盟,蒙二幼,,37,34,31,9,7,116,116,139,133,3,8,11,12,0.3,0.3
2026-07-05T2100,2206A,105.7198,38.8508,阿拉善盟,环保局新楼,,37,12,25,6,7,117,117,144,133,3,4,9,10,0.4,0.4
2026-07-05T2100,2708A,88.1266,47.8515,阿勒泰地区,市站,,46,46,39,19,9,132,132,112,112,15,12,7,7,0.5,0.5
2026-07-05T2100,4166A,88.1198,47.7931,阿勒泰地区,阿勒泰路33号,NA,NA,42,35,28,10,NA,NA,95,95,4,7,6,6,0.3,0.3
2026-07-05T2100,2630A,80.1171,32.4999,阿里地区,阿里监测站,,43,43,12,8,3,116,116,118,118,6,5,5,5,0.3,0.3
2026-07-05T2100,3192A,80.0906,32.5029,阿里地区,阿里藏医院,,37,29,9,7,3,116,116,115,115,2,3,8,8,0.3,0.3
2026-07-05T2100,2644A,109.0088,32.6974,安康市,汉滨区检察院,,28,28,25,19,13,66,66,107,100,11,7,2,3,0.4,0.5
2026-07-05T2100,4054A,109.0324,32.6913,安康市,市邮政管理局,细颗粒物(PM2.5),66,NA,27,43,15,64,64,116,NA,19,9,10,4,0.7,0.6
2026-07-05T2100,2291A,117.0806,30.5181,安庆市,环科院,,14,12,9,3,4,19,19,41,38,27,7,9,8,0.5,0.4
2026-07-05T2100,2292A,117.0331,30.5118,安庆市,马山宾馆,,15,9,7,3,4,22,22,36,33,30,11,2,2,0.4,0.4
2026-07-05T2100,2294A,116.9897,30.6146,安庆市,安庆大学,,16,16,10,8,3,47,47,48,48,7,5,4,4,0.4,0.4
2026-07-05T2100,3173A,117.0598,30.5351,安庆市,市人大,,11,10,7,3,3,27,27,43,40,22,5,4,4,0.4,0.4
2026-07-05T2100,3123A,105.9408,26.2431,安顺市,凤凰山,,13,6,9,3,7,39,39,47,46,4,3,7,7,0.4,0.4
2026-07-05T2100,3124A,105.9443,26.2567,安顺市,金钟山,,13,NA,6,7,7,41,41,51,50,3,2,6,6,0.4,0.3
2026-07-05T2100,3125A,105.8983,26.248,安顺市,娄家坡,,13,6,7,3,7,41,41,50,48,3,2,7,6,0.4,0.4
2026-07-05T2100,1819A,114.3552,36.1017,安阳市,红庙街,,46,41,40,16,21,145,145,191,188,3,8,3,5,0.5,0.6
2026-07-05T2100,1820A,114.361,36.0681,安阳市,银杏小区,,50,26,45,18,21,158,158,202,199,1,7,1,3,0.2,0.3
2026-07-05T2100,3141A,114.3921,36.0879,安阳市,信访局,臭氧1小时(O3_1h),57,47,41,18,22,165,165,210,206,1,7,3,2,0.4,0.5
2026-07-05T2100,3669A,114.4706,36.0634,安阳市,左辅环卫站,,43,26,39,12,19,137,137,182,178,10,12,2,4,0.4,0.3
2026-07-05T2100,4117A,114.2918,36.0769,安阳市,钢三路198号,,45,35,46,9,20,144,144,192,187,5,7,3,5,0.6,0.5
2026-07-05T2100,1748A,123.0441,41.1201,鞍山市,深沟寺,,21,11,12,6,5,66,66,88,75,6,4,7,6,0.5,0.5
2026-07-05T2100,1749A,123.011,41.0931,鞍山市,太阳城,,32,32,11,8,7,61,61,94,72,8,7,7,7,0.8,0.8
2026-07-05T2100,1750A,123.0483,41.1445,鞍山市,太平,,22,16,6,11,5,70,70,88,76,11,8,6,6,0.7,0.6
2026-07-05T2100,1751A,122.964,41.0968,鞍山市,铁西三道街,,27,27,12,10,6,66,66,98,77,15,7,5,5,1.0,0.8
2026-07-05T2100,1753A,123.0219,41.0822,鞍山市,明达新区,,25,14,10,6,5,80,80,98,83,7,6,5,5,0.6,0.5
2026-07-05T2100,4201A,122.944647,41.082639,鞍山市,兴盛南路290号,,25,25,11,10,7,40,40,93,71,33,11,5,5,0.9,0.6
2026-07-05T2100,2195A,107.4206,40.7609,巴彦淖尔市,附二中,,42,31,29,26,14,133,133,138,138,12,12,13,14,0.6,0.6
2026-07-05T2100,2196A,107.37,40.7372,巴彦淖尔市,市环保大楼,,38,30,31,15,9,120,120,134,134,11,8,9,12,0.6,0.6
2026-07-05T2100,1956A,86.1476,41.7529,巴音郭楞蒙古自治州,孔雀公园,颗粒物(PM10),61,65,62,16,14,123,123,124,119,4,5,7,7,0.2,0.2
2026-07-05T2100,1957A,86.1971,41.7166,巴音郭楞蒙古自治州,棉纺厂,颗粒物(PM10),68,75,68,41,26,105,105,114,111,18,8,/,/,/,/
2026-07-05T2100,1958A,86.236,41.7172,巴音郭楞蒙古自治州,经济开发区,颗粒物(PM10),63,67,54,17,15,117,117,114,114,6,5,5,4,0.3,0.2
2026-07-05T2100,3181A,106.776805,31.852614,巴中市,市五中,,42,30,23,29,17,66,66,116,109,11,9,8,8,0.6,0.6
2026-07-05T2100,3183A,106.7419,31.8654,巴中市,圣泉水务公司,NA,NA,23,21,NA,14,50,50,119,108,31,10,9,8,0.8,0.7
2026-07-05T2100,3616A,106.7617,31.8343,巴中市,市中心医院,,28,28,31,15,17,77,77,124,116,18,12,7,7,0.7,0.7
2026-07-05T2100,2235A,122.7909,45.608,白城市,洮北区环保局,,33,NA,17,21,15,103,103,102,88,5,8,5,4,0.1,0.2
2026-07-05T2100,2236A,122.8741,45.5725,白城市,市环保局,,34,NA,11,19,14,107,107,100,86,7,8,4,4,0.1,0.2
2026-07-05T2100,2231A,126.4219,41.9172,白山市,喜丰,,38,38,30,19,12,47,47,107,89,17,13,9,10,0.9,0.8
2026-07-05T2100,2232A,126.4082,41.9416,白山市,环保局,,38,38,23,18,10,40,40,105,85,8,5,11,10,0.8,0.7
2026-07-05T2100,2647A,104.1727,36.5448,白银市,第三小学,,39,39,47,20,19,104,104,132,130,24,13,10,61,0.4,0.4
2026-07-05T2100,2648A,104.1467,36.5482,白银市,动力公司,颗粒物(PM10),52,52,44,19,16,109,109,130,128,14,16,7,20,0.3,0.4
2026-07-05T2100,2512A,106.6102,23.901,百色市,市监测站,,10,10,14,3,1,20,20,41,38,8,4,6,6,0.3,0.2
2026-07-05T2100,2513A,106.6524,23.8842,百色市,市中心血站,,10,9,14,3,2,30,30,44,43,7,6,6,6,0.4,0.4
